sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_03643,O=S(=O)([O-])c1ccc(O)cc1.[Na+],-8.36319,-0.20844382911299666,False,8.154745868152629,8.154745868152629
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-5.735579373041789,True,7.436320422490438,7.436320422490438
AQSOL_03385,[Cr],-10.017,-2.604772897710403,False,7.412227300653855,7.412227300653855
AQSOL_03188,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,1.1774502,-5.152379623179635,True,-6.329829803233346,6.329829803233346
AQSOL_00679,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,-0.23519382,-6.32371397058169,False,-6.088520151774088,6.088520151774088
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.9582876067856947,False,5.792959322383006,5.792959322383006
AQSOL_03655,ClCc1ccc(-c2ccc(CCl)cc2)cc1,-10.098913,-4.79109729329745,True,5.307815899451573,5.307815899451573
AQSOL_01624,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,-6.8304567,-1.8014823414468106,True,5.028974392256803,5.028974392256803
AQSOL_06445,CC(C)(COCc1cccc(Oc2ccccc2)c1)c1ccc(OC(F)(F)Br)cc1,-9.9799,-5.084507453590631,True,4.895392906516791,4.895392906516791
AQSOL_08084,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,-8.76,-3.9523804436127343,True,4.807619785269102,4.807619785269102
AQSOL_05061,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515,-2.271695204178492,True,4.679804734786352,4.679804734786352
AQSOL_02179,O=S(=O)([O-])[O-].O=[V+2],0.45711863,-4.164320774823427,False,-4.6214394052326675,4.6214394052326675
AQSOL_04512,O=C([O-])C(=O)[O-].[K+].[K+],0.1773,-4.27189302355051,False,-4.44919302970171,4.44919302970171
AQSOL_00897,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.287064,0.11085592565437158,True,4.3979200011243424,4.3979200011243424
AQSOL_01776,CC1=NN(c2ccccc2)C(=N)/C1=N/Nc1cc(Cl)c(S(=O)(=O)[O-])cc1Cl.[Li+],-1.2370685,-5.625374016761779,False,-4.3883054828643795,4.3883054828643795
AQSOL_09373,CCCCCCCCCCN1CCCCC1,-1.53,-5.892741352323288,True,-4.362741380933517,4.362741380933517
AQSOL_03420,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,-7.779843,-3.4537125128507613,True,4.326130340695381,4.326130340695381
AQSOL_03017,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],-4.8359733,-0.530647742468489,False,4.305325520318377,4.305325520318377
AQSOL_03626,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,-7.564994,-3.28425447622935,True,4.280739382108052,4.280739382108052
AQSOL_00359,[I-].[NH4+],1.086776,-3.1835084060579537,False,-4.2702844242006535,4.2702844242006535
AQSOL_01121,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],-4.5597625,-0.3473065841508408,False,4.212455893723915,4.212455893723915
AQSOL_08345,c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97,-7.176547642548879,True,-4.20654761393865,4.20654761393865
AQSOL_03413,O=[Nb](=O)O[Nb](=O)=O,-6.9474454,-2.7472280321332314,False,4.200217360475412,4.200217360475412
AQSOL_01689,Fc1ccc(-n2c[c-]cc2)c(F)c1.Fc1ccc(-n2c[c-]cc2)c(F)c1.[Ti+4].c1cc[cH-]c1.c1cc[cH-]c1,-8.12579,-3.933700549726685,False,4.192089092607299,4.192089092607299
AQSOL_03373,Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].[Ca+2],-7.739804,-3.577179459867378,False,4.1626243311787645,4.1626243311787645
AQSOL_03331,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.25671875,-3.899903208661411,True,-4.1566219634297825,4.1566219634297825
AQSOL_03610,CCCCCCCCCCCCCCCCCc1ncc[nH]1,-7.2146425,-3.0604352757302435,True,4.154207248988994,4.154207248988994
AQSOL_03186,[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],-0.111289404,-4.207788190754751,False,-4.096498786422114,4.096498786422114
AQSOL_03556,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-9.407174,-5.376208242761592,True,4.030965867651005,4.030965867651005
AQSOL_00162,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.74486,-4.7630153314272565,False,3.981844364007314,3.981844364007314
AQSOL_01298,Cc1ccc(C(=O)OOC(=O)c2ccc(C)cc2)cc1,-6.798352,-2.8484947696328162,True,3.949856995046139,3.949856995046139
AQSOL_09230,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.04,-2.1196107031901676,True,3.9203892586628597,3.9203892586628597
AQSOL_03619,O=[Pb]=O,-7.3256793,-3.4214651850859323,False,3.904214117129644,3.904214117129644
AQSOL_09901,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.68,-8.577193333307902,True,-3.8971935049692785,3.8971935049692785
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-3.693871990243594,True,3.834137901266416,3.834137901266416
AQSOL_07057,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-9.2068,-5.385571069320043,True,3.821229391495387,3.821229391495387
AQSOL_01094,O=S(=O)([O-])[O-].O=[Pb].O=[Pb].O=[Pb].[Pb+2],-3.9794502,-0.1641808197523157,False,3.8152694060777623,3.8152694060777623
AQSOL_01262,C=C[Si](C)(C)O[Si](C)(C)C=C,-5.9544826,-2.1719240132160484,True,3.782558542173356,3.782558542173356
AQSOL_01676,Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,-7.425089,-3.66005808810393,True,3.765030794342359,3.765030794342359
AQSOL_01859,[Cl-].[Cl-].[Cl-].[Cr+3],-3.1996317,0.533309816767772,False,3.732941507746776,3.732941507746776
