sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_03643,O=S(=O)([O-])c1ccc(O)cc1.[Na+],-8.36319,-0.035903454,False,8.327286,8.327286
AQSOL_00296,[Re],-0.47550794,-7.1369066,False,-6.661399,6.661399
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.1694684,False,6.5817785,6.5817785
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-7.478366,True,5.693534,5.693534
AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-6.710862,False,-5.687641,5.687641
AQSOL_01624,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,-6.8304567,-1.1849127,True,5.645544,5.645544
AQSOL_03385,[Cr],-10.017,-4.7825723,False,5.234428,5.234428
AQSOL_01918,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl].[Cl].[Rh].[Rh],-2.499798,-7.615815,False,-5.1160173,5.1160173
AQSOL_00679,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,-0.23519382,-4.963217,False,-4.728023,4.728023
AQSOL_03413,O=[Nb](=O)O[Nb](=O)=O,-6.9474454,-2.2420793,False,4.705366,4.705366
AQSOL_02055,[Sr],-1.1139433,-5.634032,False,-4.520088,4.520088
AQSOL_08345,c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97,-7.445053,True,-4.475053,4.475053
AQSOL_01121,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],-4.5597625,-0.36916184,False,4.1906004,4.1906004
AQSOL_01619,CC(C)(CO)CO.CCCCCCC(=O)O,-6.670869,-2.5205688,False,4.1503,4.1503
AQSOL_01481,B12B3B4B1C234,-4.742403,-0.60233426,True,4.140069,4.140069
AQSOL_01110,CC/C(C)=N/O[Si](C)(O/N=C(\C)CC)O/N=C(\C)CC,-0.479234,-4.5386276,True,-4.0593934,4.0593934
AQSOL_05061,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515,-2.932646,True,4.018854,4.018854
AQSOL_03626,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,-7.564994,-3.5923972,True,3.9725966,3.9725966
AQSOL_01514,O.[K].[Li].[Ti],-5.0489116,-1.0937045,False,3.955207,3.955207
AQSOL_00910,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,-0.3038119,-4.1769176,False,-3.8731055,3.8731055
AQSOL_02844,CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,-2.8923562,-6.672393,True,-3.7800367,3.7800367
AQSOL_03655,ClCc1ccc(-c2ccc(CCl)cc2)cc1,-10.098913,-6.3303328,True,3.7685804,3.7685804
AQSOL_00162,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.74486,-4.990118,False,3.7547417,3.7547417
AQSOL_03318,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,-3.3549685,-7.0584173,True,-3.7034488,3.7034488
AQSOL_02199,CCCCC1=NC(=O)C2(CCCC2)N1.CCCCC1=NC2(CCCC2)C(=O)N1.Cl.Cl,-1.019614,-4.6445513,False,-3.6249373,3.6249373
AQSOL_01859,[Cl-].[Cl-].[Cl-].[Cr+3],-3.1996317,0.38818455,False,3.5878162,3.5878162
AQSOL_00170,CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.5951755,-6.1522207,True,-3.5570452,3.5570452
AQSOL_03556,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-9.407174,-5.883894,True,3.5232801,3.5232801
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-4.01184,True,3.51617,3.51617
AQSOL_00778,C1CC(N2CCOCC2)CCN1,-2.9027228,0.61051774,True,3.5132406,3.5132406
AQSOL_02541,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C.[Cl-],-1.3909847,-4.8825436,False,-3.491559,3.491559
