sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-4.896453,True,8.275447,8.275447
AQSOL_03643,O=S(=O)([O-])c1ccc(O)cc1.[Na+],-8.36319,-0.52785325,False,7.8353367,7.8353367
AQSOL_00296,[Re],-0.47550794,-8.22553,False,-7.750022,7.750022
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.4098523,False,6.3413944,6.3413944
AQSOL_03385,[Cr],-10.017,-3.8174376,False,6.1995625,6.1995625
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-1.5466139,True,5.9813957,5.9813957
AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-6.898657,False,-5.875436,5.875436
AQSOL_01624,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,-6.8304567,-1.1554244,True,5.6750326,5.6750326
AQSOL_01581,O=[Si]([O-])O.O=[Si]([O-])O.O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Mg+2].[Mg+2].[Mg+2],-6.5789404,-1.1647341,False,5.4142065,5.4142065
AQSOL_01415,CC(=O)[CH-]C(C)=O.[C-]#[O+].[Rh].c1ccc(P(c2ccccc2)c2ccccc2)cc1,-7.3120337,-2.0403817,False,5.271652,5.271652
AQSOL_03413,O=[Nb](=O)O[Nb](=O)=O,-6.9474454,-1.7350054,False,5.21244,5.21244
AQSOL_00679,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,-0.23519382,-5.3738317,False,-5.138638,5.138638
AQSOL_01918,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl].[Cl].[Rh].[Rh],-2.499798,-7.3630896,False,-4.8632917,4.8632917
AQSOL_03626,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,-7.564994,-2.7928345,True,4.7721596,4.7721596
AQSOL_01335,COc1ccccc1N/N=C1\C(=O)C=Cc2ccccc21,-8.926017,-4.1736345,True,4.7523823,4.7523823
AQSOL_00162,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.74486,-3.9939084,False,4.7509513,4.7509513
AQSOL_02055,[Sr],-1.1139433,-5.847522,False,-4.7335787,4.7335787
AQSOL_08345,c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97,-7.6752033,True,-4.705203,4.705203
AQSOL_01619,CC(C)(CO)CO.CCCCCCC(=O)O,-6.670869,-2.0786808,False,4.592188,4.592188
AQSOL_03373,Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].[Ca+2],-7.739804,-3.2964294,False,4.4433746,4.4433746
AQSOL_00910,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,-0.3038119,-4.7372265,False,-4.4334145,4.4334145
AQSOL_01838,O=[N+]([O-])[O-].[Li+],1.1700974,-3.163308,False,-4.3334055,4.3334055
AQSOL_01481,B12B3B4B1C234,-4.742403,-0.4469595,True,4.2954435,4.2954435
AQSOL_03655,ClCc1ccc(-c2ccc(CCl)cc2)cc1,-10.098913,-6.0192075,True,4.0797057,4.0797057
AQSOL_03556,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-9.407174,-5.343745,True,4.063429,4.063429
AQSOL_03318,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,-3.3549685,-7.3968353,True,-4.041867,4.041867
AQSOL_01513,[Fe+3].[K+].[O-2].[O-2],-5.103602,-1.0997145,False,4.003887,4.003887
AQSOL_08493,NS(=O)(=O)c1ccc(Nc2ccnc(NS(=O)(=O)c3cccc(C(F)(F)F)c3)n2)cc1,-1.82,-5.768096,True,-3.9480958,3.9480958
AQSOL_01121,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],-4.5597625,-0.7130828,False,3.8466797,3.8466797
AQSOL_02199,CCCCC1=NC(=O)C2(CCCC2)N1.CCCCC1=NC2(CCCC2)C(=O)N1.Cl.Cl,-1.019614,-4.8502407,False,-3.8306267,3.8306267
AQSOL_00003,CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1.[Zn+2],-3.9244092,-7.7516727,False,-3.8272636,3.8272636
AQSOL_03611,COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.C[O-].Cc1cc(N)ccc1N=Nc1ccc(N)cc1.[Na+],-7.532415,-3.7438323,False,3.7885826,3.7885826
AQSOL_02983,CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,-4.0572476,-7.820718,True,-3.7634702,3.7634702
AQSOL_03054,COc1ccc(C(=O)c2ccccc2O)c(O)c1,-7.2738843,-3.562312,True,3.7115724,3.7115724
AQSOL_03169,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],-0.011381165,-3.7130113,False,-3.70163,3.70163
AQSOL_00143,[Mg+2],-2.4020693,-6.082587,False,-3.6805174,3.6805174
AQSOL_01514,O.[K].[Li].[Ti],-5.0489116,-1.3797624,False,3.6691492,3.6691492
AQSOL_00801,[As],-2.5735793,-6.15707,False,-3.5834908,3.5834908
AQSOL_01411,CCCCCCCCCCCCCCCCCCCCCC(=O)[O-].[Li+],-6.876977,-3.306935,False,3.570042,3.570042
AQSOL_01965,O.O=P[O-].[Na+],0.85463566,-2.6986177,False,-3.5532534,3.5532534
AQSOL_00806,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)cc-2oc2c(C3=CC=C[Hg]3)c([O-])c(Br)cc12.[Na+].[Na+],-4.5936832,-1.0469874,False,3.5466957,3.5466957
AQSOL_00778,C1CC(N2CCOCC2)CCN1,-2.9027228,0.5397427,True,3.4424655,3.4424655
AQSOL_02007,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0.49243996,-2.8506641,True,-3.3431041,3.3431041
AQSOL_01910,O.O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[La+3],0.3652266,-2.9744213,False,-3.3396478,3.3396478
AQSOL_01978,CC(=O)[O-].COc1ccc2cc(C3N(C)c4cc(S(C)(=O)=O)ccc4[NH+]3C)oc2c1,0.21257447,-3.1138718,False,-3.3264463,3.3264463
AQSOL_01969,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1.O=S(=O)([O-])[O-],-0.77417207,-4.049427,False,-3.275255,3.275255
AQSOL_08084,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,-8.76,-5.532048,True,3.227952,3.227952
AQSOL_03619,O=[Pb]=O,-7.3256793,-4.151735,False,3.1739445,3.1739445
AQSOL_06168,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,-6.8395,-9.998744,True,-3.159244,3.159244
AQSOL_05061,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515,-3.7974758,True,3.1540241,3.1540241
