sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_03643,O=S(=O)([O-])c1ccc(O)cc1.[Na+],-8.36319,-0.17189765,False,8.191292,8.191292
AQSOL_03385,[Cr],-10.017,-2.2990682,False,7.7179317,7.7179317
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-5.907522,True,7.2643776,7.2643776
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-0.78793263,False,6.963314,6.963314
AQSOL_03655,ClCc1ccc(-c2ccc(CCl)cc2)cc1,-10.098913,-4.4595118,True,5.6394014,5.6394014
AQSOL_03186,[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],-0.111289404,-5.523485,False,-5.4121957,5.4121957
AQSOL_03413,O=[Nb](=O)O[Nb](=O)=O,-6.9474454,-1.5969449,False,5.3505006,5.3505006
AQSOL_03592,[Sn],-7.472431,-2.332619,False,5.1398125,5.1398125
AQSOL_03619,O=[Pb]=O,-7.3256793,-2.4460351,False,4.8796444,4.8796444
AQSOL_01776,CC1=NN(c2ccccc2)C(=N)/C1=N/Nc1cc(Cl)c(S(=O)(=O)[O-])cc1Cl.[Li+],-1.2370685,-6.085035,False,-4.847966,4.847966
AQSOL_03188,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,1.1774502,-3.4736104,True,-4.6510606,4.6510606
AQSOL_03053,[Ta],-6.929174,-2.2819695,False,4.6472044,4.6472044
AQSOL_08345,c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97,-7.530245,True,-4.5602446,4.5602446
AQSOL_03610,CCCCCCCCCCCCCCCCCc1ncc[nH]1,-7.2146425,-2.7955348,True,4.4191074,4.4191074
AQSOL_00679,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,-0.23519382,-4.610264,False,-4.37507,4.37507
AQSOL_03556,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-9.407174,-5.0764375,True,4.3307366,4.3307366
AQSOL_03420,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,-7.779843,-3.4519072,True,4.3279357,4.3279357
AQSOL_03017,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],-4.8359733,-0.52373147,False,4.3122416,4.3122416
AQSOL_02179,O=S(=O)([O-])[O-].O=[V+2],0.45711863,-3.784093,False,-4.2412114,4.2412114
AQSOL_03331,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.25671875,-3.9556327,True,-4.2123513,4.2123513
AQSOL_04669,CCCCCCCCCCCCCCC,-9.4464,-5.2860594,True,4.1603403,4.1603403
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-3.398059,True,4.129951,4.129951
AQSOL_00778,C1CC(N2CCOCC2)CCN1,-2.9027228,1.1975119,True,4.100235,4.100235
AQSOL_02844,CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,-2.8923562,-6.9911995,True,-4.0988436,4.0988436
AQSOL_06445,CC(C)(COCc1cccc(Oc2ccccc2)c1)c1ccc(OC(F)(F)Br)cc1,-9.9799,-5.95473,True,4.0251703,4.0251703
AQSOL_01262,C=C[Si](C)(C)O[Si](C)(C)C=C,-5.9544826,-1.9393228,True,4.0151596,4.0151596
AQSOL_05061,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515,-2.980772,True,3.970728,3.970728
AQSOL_01647,O=C(c1ccccc1)c1ccc(OCC(O)COc2ccc(C(=O)c3ccccc3)c(O)c2)cc1O,-7.138755,-3.1793735,True,3.9593813,3.9593813
AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-4.946826,False,-3.9236047,3.9236047
AQSOL_01978,CC(=O)[O-].COc1ccc2cc(C3N(C)c4cc(S(C)(=O)=O)ccc4[NH+]3C)oc2c1,0.21257447,-3.6967216,False,-3.909296,3.909296
AQSOL_01689,Fc1ccc(-n2c[c-]cc2)c(F)c1.Fc1ccc(-n2c[c-]cc2)c(F)c1.[Ti+4].c1cc[cH-]c1.c1cc[cH-]c1,-8.12579,-4.258044,False,3.8677459,3.8677459
AQSOL_01121,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],-4.5597625,-0.71922374,False,3.8405387,3.8405387
AQSOL_03571,S.[Mo],-5.81299,-1.9924015,False,3.8205886,3.8205886
AQSOL_03626,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,-7.564994,-3.7466187,True,3.818375,3.818375
AQSOL_01512,CCCCC=O.CCCCCC=O.O=CCC=O,-5.412222,-1.627682,False,3.78454,3.78454
AQSOL_08870,CC12CCC3C(CCC4CCCCC43C)C1CCC2=O,-6.7,-2.9424546,True,3.7575452,3.7575452
AQSOL_01676,Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,-7.425089,-3.7511616,True,3.6739273,3.6739273
AQSOL_08084,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,-8.76,-5.104817,True,3.6551833,3.6551833
AQSOL_00162,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.74486,-5.317209,False,3.427651,3.427651
AQSOL_09454,CCCCCCCCSC(=N)N,0.16,-3.2136393,True,-3.3736393,3.3736393
AQSOL_09230,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.04,-2.6988633,True,3.3411367,3.3411367
AQSOL_01514,O.[K].[Li].[Ti],-5.0489116,-1.715144,False,3.3337674,3.3337674
AQSOL_01298,Cc1ccc(C(=O)OOC(=O)c2ccc(C)cc2)cc1,-6.798352,-3.4749005,True,3.3234513,3.3234513
AQSOL_04951,C=C(C)C1CCC(C)(O)C(O)C1,-0.2311,-3.5371382,True,-3.3060381,3.3060381
AQSOL_01164,CC1(C)COP(=S)(OP2(=S)OCC(C)(C)CO2)OC1,-5.3933835,-2.096082,True,3.2973015,3.2973015
AQSOL_00384,C=C[Si](C)(OC)OC,0.5776236,-2.7173805,True,-3.2950041,3.2950041
AQSOL_07057,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-9.2068,-5.9413195,True,3.265481,3.265481
AQSOL_09563,ON=C(C(=NO)c1ccccc1)c1ccccc1,-5.9,-2.6485128,True,3.2514873,3.2514873
AQSOL_04512,O=C([O-])C(=O)[O-].[K+].[K+],0.1773,-3.0714192,False,-3.2487192,3.2487192
AQSOL_06091,CS/C(C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)SC,-4.0055,-0.77591276,True,3.229587,3.229587
