sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_03564,C1CO[Sb]2OCCO[Sb](O1)OCCO2,-9.024974,-1.4985691,False,7.526405,7.526405
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.4610832,False,6.290164,6.290164
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-7.00682,True,6.1650796,6.1650796
AQSOL_05516,Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,0.1956,-5.790557,True,-5.986157,5.986157
AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-6.653681,False,-5.63046,5.63046
AQSOL_02273,CC(=O)[O-].CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)cc1,-0.1395609,-5.655113,False,-5.5155525,5.5155525
AQSOL_00012,Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C,-1.9803098,-7.3919654,False,-5.4116554,5.4116554
AQSOL_03488,COCCOCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-8.265049,-3.0464275,True,5.2186213,5.2186213
AQSOL_03277,CC(=O)[O-].CCN(CC)c1ccc([C+](c2ccccc2)c2ccc(N(CC)CC)cc2)cc1,-0.647988,-5.662927,False,-5.0149393,5.0149393
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-2.5159552,True,5.0120544,5.0120544
AQSOL_01335,COc1ccccc1N/N=C1\C(=O)C=Cc2ccccc21,-8.926017,-3.9187267,True,5.00729,5.00729
AQSOL_01266,O=C(O)CCCCCNc1nc(NCCCCCC(=O)O)nc(NCCCCCC(=O)O)n1.OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO,-6.6832013,-1.772315,False,4.9108863,4.9108863
AQSOL_02205,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.[Na],-0.9807589,-5.831332,False,-4.8505735,4.8505735
AQSOL_01548,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,-6.4172025,-1.8368251,True,4.5803776,4.5803776
AQSOL_01969,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1.O=S(=O)([O-])[O-],-0.77417207,-5.234878,False,-4.4607058,4.4607058
AQSOL_03881,Nc1ccc2cc3ccc(N)cc3nc2c1,0.3783,-4.0222735,True,-4.4005737,4.4005737
AQSOL_01481,B12B3B4B1C234,-4.742403,-0.39566636,True,4.346737,4.346737
AQSOL_01317,COCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-7.323793,-3.0772657,True,4.246527,4.246527
AQSOL_01996,CCOc1ccc(C)cc1N=Nc1ccc(N=Nc2cccc(S(=O)(=O)[O-])c2)c2ccccc12.[Na+],-1.8471355,-6.0071735,False,-4.160038,4.160038
AQSOL_00715,CC(=O)[O-].CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1,-0.22627269,-4.231816,False,-4.005543,4.005543
AQSOL_02292,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],-0.018923033,-3.9959211,False,-3.976998,3.976998
AQSOL_02203,CC(=O)[O-].CCN(CC)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1,-0.96041876,-4.9295053,False,-3.9690866,3.9690866
AQSOL_01076,C1=Cc2ccccc2C1.Cc1cccc(C)c1C.c1ccc2c(c1)CCC2,-3.5162377,-7.4663987,False,-3.950161,3.950161
AQSOL_02183,CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1.COS(=O)(=O)[O-],-1.0208151,-4.867955,False,-3.84714,3.84714
AQSOL_03373,Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].[Ca+2],-7.739804,-3.9502528,False,3.789551,3.789551
AQSOL_00457,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1.O=C([O-])c1ccccc1,-1.0209587,-4.8027067,False,-3.781748,3.781748
