sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
AQSOL_03564,C1CO[Sb]2OCCO[Sb](O1)OCCO2,-9.024974,-1.2665628,False,7.758411,7.758411
AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-5.602789,True,7.569111,7.569111
AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.3147819,False,6.4364653,6.4364653
AQSOL_09875,Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-12.95,-6.8739004,True,6.0760994,6.0760994
AQSOL_03653,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,-9.981896,-4.460764,True,5.5211325,5.5211325
AQSOL_03488,COCCOCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-8.265049,-3.1793973,True,5.0856514,5.0856514
AQSOL_02395,CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2cc(N(CC)CC)ccc12.[Cl-],-1.2801898,-6.3478956,False,-5.067706,5.067706
AQSOL_01266,O=C(O)CCCCCNc1nc(NCCCCCC(=O)O)nc(NCCCCCC(=O)O)n1.OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO,-6.6832013,-1.6442863,False,5.038915,5.038915
AQSOL_05516,Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,0.1956,-4.809696,True,-5.005296,5.005296
AQSOL_04422,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-7.3387,-2.351702,True,4.9869976,4.9869976
AQSOL_03532,S=C(SSSSSSC(=S)N1CCCCC1)N1CCCCC1,-7.631732,-2.6563697,True,4.9753623,4.9753623
AQSOL_07587,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-8.83,-3.951777,True,4.878223,4.878223
AQSOL_03377,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,-7.602121,-2.736635,True,4.865486,4.865486
AQSOL_03188,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,1.1774502,-3.6412568,True,-4.818707,4.818707
AQSOL_03420,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,-7.779843,-2.9826372,True,4.797206,4.797206
AQSOL_01415,CC(=O)[CH-]C(C)=O.[C-]#[O+].[Rh].c1ccc(P(c2ccccc2)c2ccccc2)cc1,-7.3120337,-2.5533755,False,4.7586584,4.7586584
AQSOL_07915,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,-7.34,-2.7460501,True,4.5939503,4.5939503
AQSOL_03145,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],0.072909646,-4.3772798,False,-4.4501896,4.4501896
AQSOL_03380,CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1,-8.362938,-3.9398642,True,4.423074,4.423074
AQSOL_06556,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccc(Br)cc2)c1)c1ccc(OC(F)F)cc1,-8.1731,-3.8486223,True,4.324478,4.324478
AQSOL_03422,Cc1ccc2[nH]c3cc4c(=O)c5cc(C)ccc5[nH]c4cc3c(=O)c2c1,-7.7837787,-3.508998,True,4.2747808,4.2747808
AQSOL_01335,COc1ccccc1N/N=C1\C(=O)C=Cc2ccccc21,-8.926017,-4.7506776,True,4.175339,4.175339
AQSOL_05440,O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl,-7.2006,-3.0555196,True,4.1450806,4.1450806
AQSOL_01777,CC(C)CC1CC(C)(O)CCO1,2.1376817,-2.0056574,True,-4.143339,4.143339
AQSOL_01652,O=P(OCc1ccccc1)(OCc1ccccc1)OP(=O)(OCc1ccccc1)OCc1ccccc1,-7.2540426,-3.1186223,True,4.1354203,4.1354203
AQSOL_00715,CC(=O)[O-].CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1,-0.22627269,-4.319826,False,-4.0935535,4.0935535
AQSOL_07796,Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-10.6,-6.5667887,True,4.0332117,4.0332117
AQSOL_02541,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C.[Cl-],-1.3909847,-5.417561,False,-4.0265765,4.0265765
AQSOL_01679,CCOc1cc2c(cc1NC(=O)c1ccccc1)Oc1c(NC(C)=O)c3c(c(NC(C)=O)c1=N2)Oc1cc(NC(=O)c2ccccc2)c(OCC)cc1N=3,-7.8613825,-3.935771,True,3.9256115,3.9256115
AQSOL_08084,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,-8.76,-4.840557,True,3.9194431,3.9194431
AQSOL_01277,COc1ccc(N2CCN(c3ccc(-n4cn[nH]c4=O)cc3)CC2)cc1,-6.4889092,-2.5747437,True,3.9141655,3.9141655
AQSOL_01528,ICC1CCC(CI)CC1,-5.7481976,-1.8534441,True,3.8947535,3.8947535
AQSOL_03633,CCC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)CC)c1,-8.5459175,-4.6887326,True,3.857185,3.857185
AQSOL_01776,CC1=NN(c2ccccc2)C(=N)/C1=N/Nc1cc(Cl)c(S(=O)(=O)[O-])cc1Cl.[Li+],-1.2370685,-5.085973,False,-3.8489041,3.8489041
AQSOL_06486,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,0.4918,-3.3452306,True,-3.8370306,3.8370306
AQSOL_03332,O=C1C=C(S(=O)(=O)O)c2cc([N+](=O)[O-])ccc2/C1=N\Nc1c(O)ccc2ccccc12.O=C1C=C(S(=O)(=O)[O-])c2cc([N+](=O)[O-])ccc2/C1=N\Nc1c(O)ccc2ccccc12.O=C1C=C(S(=O)(=O)[O-])c2cc([N+](=O)[O-])ccc2/C1=N\Nc1c(O)ccc2ccccc12.[Cr].[Cr].[Na+].[Na+],-5.1661844,-1.3409123,False,3.825272,3.825272
AQSOL_03624,CNC(=O)/C(C#N)=c1\[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.52801,-3.713411,True,3.8145988,3.8145988
AQSOL_01279,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,-6.480661,-2.6905608,True,3.7901,3.7901
AQSOL_08776,Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O,-6.7,-2.9869401,True,3.7130597,3.7130597
AQSOL_03254,O=C1CCCCCO1,0.9425469,-2.7667453,True,-3.7092922,3.7092922
AQSOL_02205,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.[Na],-0.9807589,-4.6842527,False,-3.7034938,3.7034938
AQSOL_01218,CC1CCC(C(C)C)CC1,-5.3545732,-1.651972,True,3.7026012,3.7026012
AQSOL_03548,CCCCC(CC)CNS(=O)(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(CCCC)c2O)cc1,-8.797314,-5.097446,True,3.6998677,3.6998677
AQSOL_01692,COc1cc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(OC)c2)ccc1N=NC(C(C)=O)C(=O)Nc1ccccc1,-8.616767,-4.916974,True,3.6997929,3.6997929
AQSOL_01317,COCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-7.323793,-3.6375542,True,3.6862388,3.6862388
AQSOL_08119,S=C=Nc1ccc2ccccc2c1Br,-4.32,-7.9713125,True,-3.6513124,3.6513124
AQSOL_03401,CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccccc1,-7.5414467,-3.8989625,True,3.6424842,3.6424842
AQSOL_07561,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.94,-4.5737886,True,-3.6337886,3.6337886
AQSOL_02284,O=S(=O)(O)c1ccc2ccccc2c1,0.23044328,-3.39699,True,-3.6274333,3.6274333
AQSOL_06417,CCOc1ccc([Si](C)(C)CCCc2ccc(F)c(Oc3ccccc3)c2)cc1,-8.6113,-4.9950037,True,3.6162968,3.6162968
