feature,importance,feature_group
logp,0.500861699059981,descriptor
molecular_weight,0.1229665182290637,descriptor
heavy_atom_count,0.0623409737193667,descriptor
tpsa,0.0401161075747273,descriptor
fraction_csp3,0.0306012200465188,descriptor
ring_count,0.0195238770929217,descriptor
hba,0.01717134459957,descriptor
rotatable_bonds,0.0088330853189166,descriptor
hbd,0.0071404871797192,descriptor
ecfp_1011,0.005054953590013,ecfp
ecfp_0735,0.0047909151211689,ecfp
ecfp_1380,0.004451834599548,ecfp
ecfp_1213,0.0040021319904945,ecfp
ecfp_0561,0.0029754416751636,ecfp
ecfp_0314,0.0026089774468747,ecfp
ecfp_0486,0.0025352503806043,ecfp
ecfp_0192,0.0024705216248976,ecfp
ecfp_0807,0.0023501756084448,ecfp
ecfp_0650,0.0022709756669848,ecfp
ecfp_1866,0.001907991489124,ecfp
ecfp_1873,0.0019001309460945,ecfp
ecfp_0875,0.0018115806181841,ecfp
ecfp_0080,0.0016056695288278,ecfp
ecfp_0389,0.0014651546134015,ecfp
ecfp_1057,0.0014567150974626,ecfp
ecfp_0695,0.0014439211116179,ecfp
ecfp_0095,0.0014229620577021,ecfp
ecfp_1750,0.0013906534537991,ecfp
ecfp_1683,0.001363088457658,ecfp
ecfp_0366,0.001226001097297,ecfp
ecfp_0715,0.0011917318892505,ecfp
ecfp_1309,0.0011780958462365,ecfp
ecfp_1264,0.0011702818728944,ecfp
ecfp_1917,0.0011028122332341,ecfp
ecfp_0222,0.0010798761980293,ecfp
ecfp_0147,0.0010773865696155,ecfp
ecfp_1716,0.0010578305472373,ecfp
ecfp_0592,0.0010233847925641,ecfp
ecfp_1226,0.0010094079175008,ecfp
ecfp_0753,0.0009282690967808,ecfp
ecfp_1088,0.000903956277426,ecfp
ecfp_1476,0.0008713013242702,ecfp
ecfp_0378,0.0008508212446678,ecfp
ecfp_0001,0.0008304831859296,ecfp
ecfp_0294,0.0008100292592072,ecfp
ecfp_0725,0.0008058088601039,ecfp
ecfp_1963,0.0007790088244615,ecfp
ecfp_1152,0.0007672443412757,ecfp
ecfp_1745,0.0007669575924563,ecfp
ecfp_0827,0.0007581045557842,ecfp
ecfp_1171,0.0007474714725797,ecfp
ecfp_0881,0.0007376632829298,ecfp
ecfp_0350,0.0007325104980072,ecfp
ecfp_0414,0.0006761931336902,ecfp
ecfp_1855,0.0006753322697212,ecfp
ecfp_1199,0.0006529152272906,ecfp
ecfp_1598,0.0006395980830012,ecfp
ecfp_1448,0.0006387369498681,ecfp
ecfp_1444,0.0006386570937246,ecfp
ecfp_1214,0.0006275393197243,ecfp
ecfp_1195,0.0006191764408116,ecfp
ecfp_1308,0.0006169662679288,ecfp
ecfp_1082,0.0006128412065675,ecfp
ecfp_0656,0.0006100717242102,ecfp
ecfp_1854,0.0006075879161689,ecfp
ecfp_0932,0.0006063219933924,ecfp
ecfp_0097,0.0005950754867686,ecfp
ecfp_0826,0.0005904818869883,ecfp
ecfp_1911,0.0005751389353848,ecfp
ecfp_1480,0.0005724553491398,ecfp
ecfp_0935,0.0005705751419233,ecfp
ecfp_1114,0.0005544499902622,ecfp
ecfp_1224,0.0005502879633348,ecfp
ecfp_1984,0.000527894757951,ecfp
ecfp_0926,0.0005272662408031,ecfp
ecfp_1384,0.0005258832546153,ecfp
ecfp_1928,0.0005244893270082,ecfp
ecfp_0984,0.0005202494616631,ecfp
ecfp_1143,0.0005195976835296,ecfp
ecfp_0694,0.0005166625692174,ecfp
ecfp_0838,0.0005081526319162,ecfp
ecfp_0841,0.0004889200356533,ecfp
ecfp_0780,0.0004804130824169,ecfp
ecfp_1722,0.0004744577172894,ecfp
ecfp_1357,0.000468754142338,ecfp
ecfp_0591,0.0004590147554852,ecfp
ecfp_0794,0.0004513432585875,ecfp
ecfp_2047,0.0004452860231255,ecfp
ecfp_1019,0.000440792595527,ecfp
ecfp_1925,0.000440772192464,ecfp
ecfp_0140,0.0004387256666256,ecfp
ecfp_0114,0.000438226276633,ecfp
ecfp_0739,0.0004367620977263,ecfp
ecfp_0917,0.000434217218186,ecfp
ecfp_0352,0.0004325180233316,ecfp
ecfp_0283,0.0004268772584662,ecfp
ecfp_0674,0.0004155632604547,ecfp
ecfp_0463,0.0004126802319118,ecfp
ecfp_1965,0.0004122820030496,ecfp
ecfp_1060,0.0004111394693648,ecfp
