feature,importance,feature_group
logp,0.4886820778264503,descriptor
molecular_weight,0.119478235139104,descriptor
heavy_atom_count,0.0717083052454999,descriptor
tpsa,0.0409011726410243,descriptor
fraction_csp3,0.0359875981579262,descriptor
hba,0.0206103946388686,descriptor
ring_count,0.0165687814585838,descriptor
rotatable_bonds,0.01106233521708,descriptor
hbd,0.0082002824362104,descriptor
ecfp_1380,0.008136418661691,ecfp
ecfp_0735,0.0059980128357655,ecfp
ecfp_1213,0.0033136513797518,ecfp
ecfp_0314,0.0030756087779428,ecfp
ecfp_1873,0.0030200010606908,ecfp
ecfp_0192,0.0028659771534736,ecfp
ecfp_0486,0.0027853096001291,ecfp
ecfp_1011,0.0027651222503777,ecfp
ecfp_0650,0.0023499073225338,ecfp
ecfp_0807,0.0021958432387145,ecfp
ecfp_0080,0.0020184648701942,ecfp
ecfp_0561,0.0017497346378951,ecfp
ecfp_1866,0.0016277300098715,ecfp
ecfp_1057,0.0015701749306017,ecfp
ecfp_0715,0.0014444139026947,ecfp
ecfp_0695,0.0014229118498437,ecfp
ecfp_0389,0.0013954146488315,ecfp
ecfp_1309,0.0013942488821409,ecfp
ecfp_1683,0.0013082290371996,ecfp
ecfp_1716,0.001287689707519,ecfp
ecfp_0350,0.0012569153668373,ecfp
ecfp_0827,0.0012506548710599,ecfp
ecfp_1917,0.001177867540274,ecfp
ecfp_0095,0.0011502737590973,ecfp
ecfp_1476,0.0011207455321007,ecfp
ecfp_0875,0.0011130385348914,ecfp
ecfp_0366,0.0011048155474695,ecfp
ecfp_1750,0.0010978557598249,ecfp
ecfp_0592,0.0010977974282353,ecfp
ecfp_0753,0.0010847376493614,ecfp
ecfp_1963,0.0010658095378633,ecfp
ecfp_0319,0.0010604687762317,ecfp
ecfp_0147,0.001038704804979,ecfp
ecfp_1143,0.0009280608115896,ecfp
ecfp_1745,0.0009237056695146,ecfp
ecfp_0001,0.0009044172116051,ecfp
ecfp_1171,0.0009010515937633,ecfp
ecfp_0881,0.0008626820147729,ecfp
ecfp_0294,0.0008564960003271,ecfp
ecfp_1226,0.0008471378230439,ecfp
ecfp_0222,0.0008278193954444,ecfp
ecfp_1264,0.00082204385042,ecfp
ecfp_0725,0.0008053371535011,ecfp
ecfp_0656,0.0007466066203304,ecfp
ecfp_1224,0.0007422595243552,ecfp
ecfp_1088,0.00073188843627,ecfp
ecfp_1152,0.0007153023539462,ecfp
ecfp_0378,0.0007053310931765,ecfp
ecfp_1911,0.0007023213206477,ecfp
ecfp_0694,0.0006880517542469,ecfp
ecfp_1854,0.0006465502695542,ecfp
ecfp_0114,0.0006355280167974,ecfp
ecfp_0097,0.0006324557795517,ecfp
ecfp_1199,0.0006267509730835,ecfp
ecfp_1816,0.0006000283929385,ecfp
formal_charge,0.0005842931772939,descriptor
ecfp_0926,0.0005792623732356,ecfp
ecfp_0591,0.0005784322768473,ecfp
ecfp_1195,0.000574142159839,ecfp
ecfp_0414,0.0005723227168858,ecfp
ecfp_1598,0.0005648747825274,ecfp
ecfp_0838,0.0005634266963648,ecfp
ecfp_0140,0.0005398610887975,ecfp
ecfp_0794,0.0005393236761495,ecfp
ecfp_1308,0.0005283672963487,ecfp
ecfp_1082,0.0005279675513983,ecfp
ecfp_1214,0.000527408203269,ecfp
ecfp_0283,0.0005215570767972,ecfp
ecfp_1720,0.0005136003278677,ecfp
ecfp_0352,0.0005012743750228,ecfp
ecfp_0984,0.0004989998859126,ecfp
ecfp_1855,0.0004896325338746,ecfp
ecfp_0935,0.0004868733397123,ecfp
ecfp_1928,0.0004737942796525,ecfp
ecfp_1602,0.0004693834153734,ecfp
ecfp_0739,0.0004663814142318,ecfp
ecfp_1444,0.0004548665077497,ecfp
ecfp_1366,0.0004544181900938,ecfp
ecfp_0862,0.00045258514839,ecfp
ecfp_0841,0.0004514337647421,ecfp
ecfp_0780,0.0004409611635617,ecfp
ecfp_1114,0.0004395478479194,ecfp
ecfp_0826,0.0004281639538867,ecfp
ecfp_0144,0.0004280750840406,ecfp
ecfp_1060,0.0004192569305274,ecfp
ecfp_0392,0.0004109592579624,ecfp
ecfp_0906,0.000410151060089,ecfp
ecfp_0790,0.000408125161965,ecfp
ecfp_1017,0.0004038609234329,ecfp
ecfp_0917,0.0004031684254443,ecfp
ecfp_1384,0.0003985131672677,ecfp
