feature,importance,feature_group
ecfp_1380,0.0750757280987039,ecfp
ecfp_1143,0.0600259590825803,ecfp
ecfp_0561,0.0445258211988582,ecfp
ecfp_1873,0.031156088236634,ecfp
ecfp_0591,0.0256686358610729,ecfp
ecfp_0807,0.0223236664623285,ecfp
ecfp_0222,0.0203146803203132,ecfp
ecfp_0352,0.0201108230047644,ecfp
ecfp_0366,0.019883687237773,ecfp
ecfp_1011,0.018787025300037,ecfp
ecfp_1683,0.0172050028483182,ecfp
ecfp_1213,0.016712877137715,ecfp
ecfp_1171,0.0163857639711141,ecfp
ecfp_1444,0.0150592044962903,ecfp
ecfp_0114,0.0141966676284048,ecfp
ecfp_0735,0.0126562783415044,ecfp
ecfp_1911,0.0111975042054865,ecfp
ecfp_0875,0.0110206918561455,ecfp
ecfp_1057,0.0109820424746404,ecfp
ecfp_0650,0.0105115687898312,ecfp
ecfp_1087,0.0101830682557095,ecfp
ecfp_1274,0.0090143594325705,ecfp
ecfp_0389,0.0084103003090958,ecfp
ecfp_1160,0.0081688111180546,ecfp
ecfp_1199,0.0069940728700871,ecfp
ecfp_1750,0.0065088332642645,ecfp
ecfp_0695,0.0061701727554305,ecfp
ecfp_1357,0.0061013050824606,ecfp
ecfp_0739,0.0058126612934348,ecfp
ecfp_1476,0.0057826944736235,ecfp
ecfp_1598,0.0056449029907165,ecfp
ecfp_0794,0.0053651726686124,ecfp
ecfp_0378,0.0053608901808017,ecfp
ecfp_1984,0.0053498393644895,ecfp
ecfp_0151,0.0052799890189367,ecfp
ecfp_0725,0.0052122458056231,ecfp
ecfp_0080,0.0050175153304069,ecfp
ecfp_0350,0.0049027445804588,ecfp
ecfp_0406,0.0042538345845516,ecfp
ecfp_1866,0.0040946943816636,ecfp
ecfp_0227,0.0038583441310999,ecfp
ecfp_0926,0.0037129091072969,ecfp
ecfp_1309,0.003639673797936,ecfp
ecfp_0294,0.0036179969004729,ecfp
ecfp_1060,0.0034351636194873,ecfp
ecfp_1399,0.0034166986865052,ecfp
ecfp_1162,0.0032673613566719,ecfp
ecfp_1386,0.0032027258355696,ecfp
ecfp_0827,0.0030683329761204,ecfp
ecfp_0401,0.0030223987422478,ecfp
ecfp_1747,0.002938160955833,ecfp
ecfp_1917,0.0029040019978285,ecfp
ecfp_1152,0.002865510255681,ecfp
ecfp_0147,0.0028428060603695,ecfp
ecfp_0656,0.0028177697823075,ecfp
ecfp_0715,0.0027402212004339,ecfp
ecfp_0322,0.0027301323308515,ecfp
ecfp_1328,0.0026235505037182,ecfp
ecfp_1339,0.0025879712935491,ecfp
ecfp_0001,0.002533977175629,ecfp
ecfp_0997,0.0024982021997637,ecfp
ecfp_1398,0.0024927651515293,ecfp
ecfp_1325,0.0024826929912019,ecfp
ecfp_1088,0.0024428976584039,ecfp
ecfp_1687,0.0024120909968051,ecfp
ecfp_0097,0.0023594328180836,ecfp
ecfp_1224,0.0023240154781581,ecfp
ecfp_1602,0.0023136114404094,ecfp
ecfp_1019,0.0023071449806477,ecfp
ecfp_0984,0.0022957005302802,ecfp
ecfp_1631,0.0022445808460525,ecfp
ecfp_1308,0.0022384980455009,ecfp
ecfp_1267,0.0021768979451809,ecfp
ecfp_1417,0.0020141620081484,ecfp
ecfp_1218,0.0019982483821372,ecfp
ecfp_1617,0.0019693343751452,ecfp
ecfp_0314,0.0019658104349068,ecfp
ecfp_1582,0.0019615655913047,ecfp
ecfp_0674,0.0019540284379203,ecfp
ecfp_1544,0.00192427363374,ecfp
ecfp_0283,0.0018942274493284,ecfp
ecfp_0392,0.0018554651942812,ecfp
ecfp_0694,0.0018491582765986,ecfp
ecfp_0018,0.001836087341407,ecfp
ecfp_1860,0.0018215976178463,ecfp
ecfp_0592,0.0018142108751257,ecfp
ecfp_1729,0.0018006324117317,ecfp
ecfp_0059,0.0017713263762783,ecfp
ecfp_1004,0.0017607624605128,ecfp
ecfp_2000,0.0017397518587995,ecfp
ecfp_0896,0.0017210108007511,ecfp
ecfp_0116,0.0016977012019341,ecfp
ecfp_0599,0.0016922072529285,ecfp
ecfp_1928,0.0016785855107981,ecfp
ecfp_0718,0.0016522107699417,ecfp
ecfp_0935,0.0016400466328514,ecfp
ecfp_1114,0.001582760420027,ecfp
ecfp_0931,0.0015644444439017,ecfp
ecfp_1810,0.0015337619700889,ecfp
ecfp_0841,0.0015117439889781,ecfp
