feature,gain_importance,feature_group
ecfp_0887,0.0125943285544429,ecfp
logp,0.009874073522368,descriptor
ecfp_0827,0.008705584551821,ecfp
ecfp_1011,0.0080670219212544,ecfp
ecfp_0826,0.005465405233543,ecfp
ecfp_0141,0.0049783984465988,ecfp
ecfp_1525,0.0047902297132207,ecfp
ecfp_0735,0.0046259345156767,ecfp
ecfp_1380,0.0043858389796902,ecfp
ecfp_0350,0.0039202144818536,ecfp
ecfp_0945,0.0038736959121845,ecfp
ecfp_1224,0.0037380396379712,ecfp
ecfp_1702,0.0036537640478051,ecfp
ecfp_0273,0.0036163032092557,ecfp
ecfp_1195,0.0035735227452389,ecfp
ecfp_0144,0.0033987383293318,ecfp
heavy_atom_count,0.0032412920304337,descriptor
ecfp_0783,0.0032247319646909,ecfp
ecfp_0436,0.0032237841118553,ecfp
ecfp_0192,0.0031773537966401,ecfp
ecfp_1214,0.003011640173512,ecfp
ecfp_1213,0.0029779506242896,ecfp
ecfp_1745,0.0028382434706391,ecfp
ecfp_1820,0.0027840509996885,ecfp
ecfp_1896,0.0027183192588814,ecfp
ecfp_0906,0.0027138906503813,ecfp
ecfp_1633,0.0027108352811849,ecfp
ecfp_0095,0.0026618547652678,ecfp
ecfp_1598,0.0026590899297339,ecfp
ecfp_1082,0.0026196331284535,ecfp
ecfp_1866,0.0026164948000704,ecfp
ecfp_1190,0.0025808045223765,ecfp
ecfp_0753,0.0025051069121184,ecfp
ecfp_1963,0.0024941566524877,ecfp
ecfp_1716,0.0024932336874081,ecfp
ecfp_1485,0.0024864483319692,ecfp
ecfp_1731,0.0024233658133614,ecfp
ecfp_1055,0.0022896380754762,ecfp
ecfp_0109,0.0022819110450134,ecfp
ecfp_0403,0.0022381857288124,ecfp
ecfp_1309,0.0022157429741859,ecfp
ecfp_0592,0.0022069937806373,ecfp
ecfp_0513,0.0021784837088094,ecfp
ecfp_0180,0.0021759056197001,ecfp
ecfp_0754,0.0021635973005318,ecfp
ecfp_1476,0.0021562751815038,ecfp
ecfp_0314,0.0020878536214487,ecfp
ecfp_1301,0.0020668036986147,ecfp
ecfp_1980,0.0020599989271959,ecfp
ecfp_1694,0.0020575904631471,ecfp
ecfp_1176,0.0020573998335265,ecfp
ecfp_0541,0.0020559240425473,ecfp
ecfp_1880,0.002034314939493,ecfp
ecfp_1642,0.0020296356883436,ecfp
ecfp_1657,0.0020102691309647,ecfp
ecfp_0995,0.0019731050038895,ecfp
ecfp_0486,0.0019619882963587,ecfp
ecfp_1226,0.0019604606117605,ecfp
ecfp_1087,0.0019369799847554,ecfp
ecfp_0813,0.0019338750165558,ecfp
ecfp_1674,0.0019306131319371,ecfp
ecfp_0251,0.0019293277940695,ecfp
ecfp_0913,0.0019161189264529,ecfp
ecfp_0917,0.0019115745281092,ecfp
fraction_csp3,0.0018693844863894,descriptor
ecfp_0591,0.001860688422022,ecfp
ecfp_0008,0.0018433030006258,ecfp
ecfp_1781,0.0018163913934682,ecfp
ecfp_0280,0.0018104991731034,ecfp
ecfp_0931,0.0018072254623879,ecfp
ecfp_0885,0.0017879381575086,ecfp
ecfp_1698,0.0017835309065863,ecfp
ecfp_0083,0.0017345560389543,ecfp
ecfp_0828,0.0017054062988441,ecfp
ecfp_1264,0.0016885830583196,ecfp
ecfp_0771,0.0016666156421823,ecfp
ecfp_1003,0.0016551033781888,ecfp
ecfp_0414,0.0016463695409151,ecfp
ecfp_0092,0.0016309656085194,ecfp
hba,0.0016304833861829,descriptor
ecfp_0347,0.0016293126025965,ecfp
ecfp_1487,0.0016211852499305,ecfp
ecfp_0777,0.0016209208395865,ecfp
ecfp_0780,0.0016180622778224,ecfp
ecfp_0742,0.0016171209558164,ecfp
ecfp_1720,0.001616232056956,ecfp
ecfp_0386,0.0016148992381922,ecfp
ecfp_1203,0.0016147778000635,ecfp
ecfp_0727,0.0016115009121876,ecfp
ecfp_0763,0.0016029195786104,ecfp
ecfp_0439,0.0015935665480877,ecfp
ecfp_0256,0.001578440617222,ecfp
ecfp_1541,0.0015637436030026,ecfp
ecfp_1193,0.0015616560321484,ecfp
ecfp_1858,0.0015474032908503,ecfp
ecfp_0881,0.001545651439939,ecfp
ecfp_0156,0.0015412959061267,ecfp
ecfp_0785,0.0015399740309152,ecfp
ecfp_2002,0.0015396903811001,ecfp
ecfp_0444,0.0015260421828117,ecfp
