feature,gain_importance,feature_group
ecfp_1328,0.0263475595352338,ecfp
ecfp_0561,0.0256448519566693,ecfp
ecfp_1143,0.0203701661753809,ecfp
ecfp_0591,0.0202040851818521,ecfp
ecfp_1380,0.0147782791185856,ecfp
ecfp_0406,0.0121548527391183,ecfp
ecfp_1011,0.0120691081792177,ecfp
ecfp_0151,0.0115107820939355,ecfp
ecfp_0352,0.0107991433679258,ecfp
ecfp_1683,0.0098812080729279,ecfp
ecfp_0875,0.0095120358821338,ecfp
ecfp_0366,0.0087792128255311,ecfp
ecfp_1087,0.0084645850881138,ecfp
ecfp_0222,0.008209125047432,ecfp
ecfp_1444,0.0081696487288745,ecfp
ecfp_0114,0.007640991679767,ecfp
ecfp_1213,0.0075331716381801,ecfp
ecfp_1860,0.007068817811098,ecfp
ecfp_1911,0.0070648310217283,ecfp
ecfp_0386,0.0069347102561177,ecfp
ecfp_1866,0.0064547708143851,ecfp
ecfp_1984,0.006139048052682,ecfp
ecfp_1162,0.0061326858229706,ecfp
ecfp_0735,0.0057620206797615,ecfp
ecfp_1399,0.0057495919230996,ecfp
ecfp_1274,0.0056842306396335,ecfp
ecfp_1160,0.005656197209354,ecfp
ecfp_1873,0.0056506643334794,ecfp
ecfp_1357,0.0053193276574474,ecfp
ecfp_0401,0.0049599974017033,ecfp
ecfp_1199,0.0048522252963061,ecfp
ecfp_1617,0.0046519028471559,ecfp
ecfp_1171,0.0046003018490918,ecfp
ecfp_0739,0.0045930265215978,ecfp
ecfp_1598,0.0045839466564555,ecfp
ecfp_1573,0.0043873303100702,ecfp
ecfp_1224,0.0041334198211599,ecfp
ecfp_1420,0.0041009398761248,ecfp
ecfp_1747,0.003994874703363,ecfp
ecfp_0827,0.0038575277015371,ecfp
ecfp_1104,0.0038341429265723,ecfp
ecfp_1631,0.0037173952028069,ecfp
ecfp_1169,0.0036700209638334,ecfp
ecfp_0807,0.0036666229810351,ecfp
ecfp_1687,0.0036494245734952,ecfp
ecfp_0369,0.0036414316470164,ecfp
ecfp_1339,0.0034162808505372,ecfp
ecfp_1386,0.0032791264597869,ecfp
ecfp_0147,0.0032336945028141,ecfp
ecfp_1582,0.0032297550720896,ecfp
ecfp_0097,0.0031203225263855,ecfp
ecfp_1908,0.0031020810735607,ecfp
ecfp_0725,0.0030649354356496,ecfp
ecfp_0227,0.0030028268825515,ecfp
ecfp_0322,0.0030019201377579,ecfp
ecfp_0592,0.0029479165547628,ecfp
ecfp_0945,0.0029191600388262,ecfp
ecfp_0002,0.0028723474618347,ecfp
ecfp_1283,0.0027765773077475,ecfp
ecfp_0599,0.0027449108340767,ecfp
ecfp_1476,0.0026759017798356,ecfp
ecfp_1734,0.0026731757700102,ecfp
ecfp_0564,0.0026514904196029,ecfp
ecfp_1816,0.0026061673297597,ecfp
ecfp_1737,0.0026052314189711,ecfp
ecfp_0479,0.0025955488861905,ecfp
ecfp_1415,0.0025817143863262,ecfp
ecfp_0419,0.0025627105748214,ecfp
ecfp_2000,0.0024782117783093,ecfp
ecfp_1859,0.0024781953182923,ecfp
ecfp_1953,0.0024620590150044,ecfp
ecfp_1880,0.0024307408006396,ecfp
ecfp_0981,0.00235111662371,ecfp
ecfp_0668,0.0023100397850828,ecfp
ecfp_0350,0.0022898629807908,ecfp
ecfp_1218,0.0022874209784508,ecfp
ecfp_1989,0.0022678316812552,ecfp
ecfp_1163,0.0022527632576638,ecfp
ecfp_1980,0.0022275185007831,ecfp
ecfp_1680,0.0022138968260502,ecfp
ecfp_1398,0.0021782112205202,ecfp
ecfp_1905,0.0021568900118915,ecfp
ecfp_0887,0.0021443204787687,ecfp
ecfp_1448,0.002121700661434,ecfp
ecfp_0913,0.0021188865760792,ecfp
ecfp_0113,0.0021183813690675,ecfp
ecfp_0650,0.0021061622610426,ecfp
ecfp_0691,0.002101921640885,ecfp
ecfp_1875,0.0020818987521902,ecfp
ecfp_2002,0.0020653929648374,ecfp
ecfp_0896,0.0020600538551273,ecfp
ecfp_0116,0.0020596098678279,ecfp
ecfp_1417,0.0020548162488551,ecfp
ecfp_0095,0.0020539819858905,ecfp
ecfp_1349,0.0020503160224652,ecfp
ecfp_0695,0.0020434032485026,ecfp
ecfp_1531,0.0020324830379559,ecfp
ecfp_1145,0.0020273454912605,ecfp
ecfp_1673,0.0019835504396579,ecfp
ecfp_0115,0.001978339977975,ecfp
