split_type,sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
random,AQSOL_03643,O=S(=O)([O-])c1ccc(O)cc1.[Na+],-8.36319,-0.035903454,False,8.327286,8.327286
random,AQSOL_00296,[Re],-0.47550794,-7.1369066,False,-6.661399,6.661399
random,AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-1.1694684,False,6.5817785,6.5817785
random,AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-7.478366,True,5.693534,5.693534
random,AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-6.710862,False,-5.687641,5.687641
random,AQSOL_01624,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,-6.8304567,-1.1849127,True,5.645544,5.645544
random,AQSOL_03385,[Cr],-10.017,-4.7825723,False,5.234428,5.234428
random,AQSOL_01918,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl].[Cl].[Rh].[Rh],-2.499798,-7.615815,False,-5.1160173,5.1160173
random,AQSOL_00679,CC(O)C(=O)O.CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1,-0.23519382,-4.963217,False,-4.728023,4.728023
random,AQSOL_03413,O=[Nb](=O)O[Nb](=O)=O,-6.9474454,-2.2420793,False,4.705366,4.705366
random,AQSOL_02055,[Sr],-1.1139433,-5.634032,False,-4.520088,4.520088
random,AQSOL_08345,c1ccc2cc3c(cc4c5c(cccc53)CC4)cc2c1,-2.97,-7.445053,True,-4.475053,4.475053
random,AQSOL_01121,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Bi+3],-4.5597625,-0.36916184,False,4.1906004,4.1906004
random,AQSOL_01619,CC(C)(CO)CO.CCCCCCC(=O)O,-6.670869,-2.5205688,False,4.1503,4.1503
random,AQSOL_01481,B12B3B4B1C234,-4.742403,-0.60233426,True,4.140069,4.140069
random,AQSOL_01110,CC/C(C)=N/O[Si](C)(O/N=C(\C)CC)O/N=C(\C)CC,-0.479234,-4.5386276,True,-4.0593934,4.0593934
random,AQSOL_05061,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515,-2.932646,True,4.018854,4.018854
random,AQSOL_03626,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,-7.564994,-3.5923972,True,3.9725966,3.9725966
