sample_id,y_true,gine_seed_1,gine_seed_2,gine_seed_3,gine_prediction,gine_seed_standard_deviation,xgboost_y_true,xgboost_prediction,nearest_train_similarity,nearest_train_sample_id,smiles,in_druglike_scope,molecular_weight,scaffold,scaffold_status,similarity_bin,molecular_weight_bin,druglike_status,gine_absolute_error,xgboost_absolute_error,gine_error_advantage,better_model
AQSOL_01523,-6.731678009033203,-33.449684143066406,-25.00527000427246,-32.26522445678711,-30.24005953470866,4.57198012441858,-6.731678,-6.6273465,0.21621621621621623,AQSOL_03513,COC(=O)c1ccc(-c2cc(C(=O)OC)ccc2C(=O)OC)cc1.COC(=O)c1ccc(-c2cc(C)ccc2C(=O)OC)cc1.COC(=O)c1ccc(-c2ccc(C(=O)OC)cc2)cc1.COC(=O)c1ccc(-c2cccc(C(=O)OC)c2)cc1.COC(=O)c1ccc(-c2ccccc2C(=O)OC)cc1.COC(=O)c1ccc(C(=O)O)cc1.COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1.COC(=O)c1ccc(C(=O)OC)cc1.COC(=O)c1ccc(C(=O)OCc2ccc(C)cc2)cc1.COC(=O)c1ccc(C(OC)OC)cc1.COC(=O)c1ccc(C)c2c1oc(=O)c1ccccc12.COC(=O)c1ccc(C)cc1.COC(=O)c1ccc(C)cc1C(=O)OC.COC(=O)c1ccc(C=O)cc1.COC(=O)c1ccc(CO)cc1.COC(=O)c1ccc(COC(=O)c2ccc(C(=O)OC)cc2)cc1.COC(=O)c1ccc(COC(=O)c2ccc(C)cc2)cc1.COC(=O)c1ccc2c(c1)C(=O)c1ccc(C(=O)OC)cc1-2.COC(=O)c1cccc(C(=O)OC)c1.COC(=O)c1ccccc1.COC(=O)c1ccccc1C(=O)OC.Cc1ccc(C(=O)O)cc1.Cc1ccc(C)cc1.O=C(O)c1ccccc1,False,5299.456,O=C(OCc1ccccc1)c1ccccc1.O=C(OCc1ccccc1)c1ccccc1.O=C(OCc1ccccc1)c1ccccc1.O=C1c2ccccc2-c2ccccc21.O=c1oc2ccccc2c2ccccc12.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1,unseen_cyclic_scaffold,<0.30,>=600,outside_drug_like_scope,23.508381525675457,0.10433150903320332,-23.404050016642252,XGBoost
AQSOL_01920,-0.4724611043930053,-27.422286987304688,-20.24898910522461,-6.396215438842773,-18.022497177124023,10.688398894113313,-0.4724611,-1.3798475,0.23076923076923078,AQSOL_02795,O=[W](=O)([O-])[O-].O=[W](=O)([O-])[O-].O=[W](=O)([O-])[O-].O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],False,2967.981,,acyclic,<0.30,>=600,outside_drug_like_scope,17.550036072731018,0.9073863956069945,-16.642649677124023,XGBoost
AQSOL_00162,-8.74485969543457,-21.538501739501957,-18.05766487121582,-22.375463485717773,-20.657210032145183,2.2898367898041574,-8.74486,-4.990118,0.6666666666666666,AQSOL_02073,[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],False,1111.449,,acyclic,0.50-0.70,>=600,outside_drug_like_scope,11.912350336710613,3.7547416954345705,-8.157608641276042,XGBoost
AQSOL_03492,-9.052340507507324,-21.17763900756836,-17.896711349487305,-15.993273735046388,-18.35587469736735,2.6225053011882093,-9.0523405,-7.98977,0.8392857142857143,AQSOL_03400,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C.COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl.COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,False,2256.165,O=C(CN=Nc1ccc(-c2ccc(N=NCC(=O)Nc3ccccc3)cc2)cc1)Nc1ccccc1.O=C(CN=Nc1ccc(-c2ccc(N=NCC(=O)Nc3ccccc3)cc2)cc1)Nc1ccccc1.O=C(CN=Nc1ccc(-c2ccc(N=NCC(=O)Nc3ccccc3)cc2)cc1)Nc1ccccc1,seen_cyclic_scaffold,0.70-0.85,>=600,outside_drug_like_scope,9.303534189860027,1.0625705075073242,-8.240963682352703,XGBoost
AQSOL_03385,-10.017000198364258,-0.2790465354919433,-1.4805796146392822,-0.8795075416564941,-0.8797112305959066,0.600766565471323,-10.017,-4.7825723,0.5,AQSOL_01736,[Cr],False,51.996,,acyclic,0.50-0.70,<200,outside_drug_like_scope,9.13728896776835,5.234427898364258,-3.902861069404093,XGBoost
AQSOL_03643,-8.363189697265625,0.3557372093200683,0.3931312561035156,-0.0697972774505615,0.22635706265767416,0.25715777950009416,-8.36319,-0.035903454,0.5909090909090909,AQSOL_02703,O=S(=O)([O-])c1ccc(O)cc1.[Na+],False,196.159,c1ccccc1,seen_cyclic_scaffold,0.50-0.70,<200,outside_drug_like_scope,8.5895467599233,8.327286243265625,-0.26226051665767436,XGBoost
AQSOL_01512,-5.412221908569336,3.087290048599243,3.280071496963501,2.542717695236206,2.97002641359965,0.38240780235294897,-5.412222,-3.3967602,0.75,AQSOL_00670,CCCCC=O.CCCCCC=O.O=CCC=O,False,258.358,,acyclic,0.70-0.85,200-400,outside_drug_like_scope,8.382248322168985,2.015461708569336,-6.36678661359965,XGBoost
AQSOL_03186,-0.1112894043326377,-8.054221153259277,-8.176862716674805,-8.820234298706055,-8.350439389546713,0.4114494875112586,-0.111289404,-3.3543756,0.6666666666666666,AQSOL_03446,[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],False,323.02,,acyclic,0.50-0.70,200-400,outside_drug_like_scope,8.239149985214075,3.2430861956673622,-4.996063789546713,XGBoost
AQSOL_01689,-8.125789642333984,0.0718863010406494,0.456803560256958,-1.8039524555206297,-0.4250875314076741,1.2095419311964422,-8.12579,-7.9972486,0.23809523809523808,AQSOL_06617,Fc1ccc(-n2c[c-]cc2)c(F)c1.Fc1ccc(-n2c[c-]cc2)c(F)c1.[Ti+4].c1cc[cH-]c1.c1cc[cH-]c1,False,534.379,[c-]1ccn(-c2ccccc2)c1.[c-]1ccn(-c2ccccc2)c1.c1cc[cH-]c1.c1cc[cH-]c1,unseen_cyclic_scaffold,<0.30,400-600,outside_drug_like_scope,7.7007021109263105,0.12854104233398456,-7.572161068592326,XGBoost
AQSOL_05548,-4.69350004196167,2.843196153640747,3.7625534534454346,2.28381085395813,2.963186820348104,0.7466379570831332,-4.6935,-3.938148,0.4,AQSOL_06783,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,True,360.406,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,unseen_cyclic_scaffold,0.30-0.50,200-400,drug_like,7.656686862309774,0.7553520419616699,-6.901334820348104,XGBoost
