sample_id,y_true,gine_seed_1,gine_seed_2,gine_seed_3,gine_prediction,gine_seed_standard_deviation,xgboost_y_true,xgboost_prediction,nearest_train_similarity,nearest_train_sample_id,smiles,in_druglike_scope,molecular_weight,scaffold,scaffold_status,similarity_bin,molecular_weight_bin,druglike_status,gine_absolute_error,xgboost_absolute_error,gine_error_advantage,better_model
AQSOL_01481,-4.742403030395508,-4.183175086975098,-3.441624164581299,-3.538238525390625,-3.721012592315674,0.4031491191618991,-4.742403,-0.76486707,0.1111111111111111,AQSOL_08601,B12B3B4B1C234,True,55.259,B12B3B4B1C234,unseen_cyclic_scaffold,<0.30,<200,drug_like,1.021390438079834,3.9775359603955076,2.9561455223156736,GINE
AQSOL_01969,-0.7741720676422119,-0.3455641269683838,-0.8803644180297852,-1.8038878440856931,-1.0099387963612874,0.7377459966795537,-0.77417207,-3.9488053,0.36619718309859156,AQSOL_01989,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1.O=S(=O)([O-])[O-],False,440.545,C(=Cc1ccccc1)C1=[NH+]c2ccccc2C1,unseen_cyclic_scaffold,0.30-0.50,400-600,outside_drug_like_scope,0.23576672871907545,3.174633232357788,2.938866503638713,GINE
AQSOL_05516,0.1956000030040741,-2.349700927734375,-2.379657745361328,-2.328079462051392,-2.3524793783823648,0.02590115187211748,0.1956,-5.1591306,0.5,AQSOL_02305,Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,True,637.439,O=C1c2ccccc2C(=O)c2c(Nc3cccc(Nc4ncncn4)c3)cccc21,unseen_cyclic_scaffold,0.50-0.70,>=600,drug_like,2.548079381386439,5.354730603004074,2.8066512216176354,GINE
AQSOL_00043,-3.8937389850616455,-4.129397869110107,-4.142805099487305,-4.169790267944336,-4.147331078847249,0.020573036668679472,-3.893739,-6.634287,0.43333333333333335,AQSOL_00974,C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,True,344.502,C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1,unseen_cyclic_scaffold,0.30-0.50,200-400,drug_like,0.25359209378560355,2.740548014938354,2.4869559211527505,GINE
AQSOL_02292,-0.018923033028841,-0.997597336769104,0.2238667011260986,0.0418770313262939,-0.2439512014389038,0.6589893268878262,-0.018923033,-2.6942573,0.45,AQSOL_00625,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],False,357.231,c1ccc([PH+](c2ccccc2)c2ccccc2)cc1,unseen_cyclic_scaffold,0.30-0.50,200-400,outside_drug_like_scope,0.22502816841006282,2.675334266971159,2.450306098561096,GINE
AQSOL_03168,-1.0232212543487549,-3.935636520385742,-4.9454450607299805,-5.166632652282715,-4.6825714111328125,0.6562505511812757,-1.0232213,-7.083934,0.2909090909090909,AQSOL_05283,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,False,473.661,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,unseen_cyclic_scaffold,<0.30,400-600,outside_drug_like_scope,3.6593501567840576,6.060712745651245,2.4013625888671877,GINE
AQSOL_01775,-1.463118553161621,-1.812568545341492,-2.344677448272705,-2.248699426651001,-2.1353151400883994,0.28359648882549204,-1.4631186,-4.397678,0.7647058823529411,AQSOL_03194,O=S(=O)([O-])c1cccc2c(N=Nc3ccc(N=Nc4ccc(Nc5ccccc5)c5c(S(=O)(=O)[O-])cccc45)c4ccccc34)cccc12.[Na+].[Na+],False,731.723,c1ccc(Nc2ccc(N=Nc3ccc(N=Nc4cccc5ccccc45)c4ccccc34)c3ccccc23)cc1,unseen_cyclic_scaffold,0.70-0.85,>=600,outside_drug_like_scope,0.6721965869267783,2.934559446838379,2.2623628599116006,GINE
AQSOL_01076,-3.516237735748291,-3.328350067138672,-4.948554992675781,-3.536707639694214,-3.937870899836222,0.8814561651888885,-3.5162377,-6.0975685,0.4716981132075472,AQSOL_02898,C1=Cc2ccccc2C1.Cc1cccc(C)c1C.c1ccc2c(c1)CCC2,False,354.537,C1=Cc2ccccc2C1.c1ccc2c(c1)CCC2.c1ccccc1,unseen_cyclic_scaffold,0.30-0.50,200-400,outside_drug_like_scope,0.42163316408793117,2.5813307642517094,2.159697600163778,GINE
AQSOL_03280,-1.507143497467041,-0.4496357440948486,-0.053638219833374,-0.5679893493652344,-0.35708777109781903,0.26937541942810844,-1.5071435,-4.772061,0.2647058823529412,AQSOL_01202,CN(C)[P+](CC1CCCCC1)(N(C)C)N(C)C.F[B-](F)(F)F,False,347.19,C1CCCCC1,unseen_cyclic_scaffold,<0.30,200-400,outside_drug_like_scope,1.150055726369222,3.264917502532959,2.114861776163737,GINE
AQSOL_00457,-1.020958662033081,-0.2505712509155273,-0.1458175182342529,-0.0356466770172119,-0.14401181538899735,0.10747366439466523,-1.0209587,-3.9669914,0.5227272727272727,AQSOL_01881,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1.O=C([O-])c1ccccc1,False,446.591,O=C(C[NH2+]Cc1ccccc1)Nc1ccccc1.c1ccccc1,unseen_cyclic_scaffold,0.50-0.70,400-600,outside_drug_like_scope,0.8769468466440837,2.946032737966919,2.0690858913228354,GINE
