sample_id,y_true,gine_seed_1,gine_seed_2,gine_seed_3,gine_prediction,gine_seed_standard_deviation,xgboost_y_true,xgboost_prediction,nearest_train_similarity,nearest_train_sample_id,smiles,in_druglike_scope,molecular_weight,scaffold,scaffold_status,similarity_bin,molecular_weight_bin,druglike_status,gine_absolute_error,xgboost_absolute_error,gine_error_advantage,better_model
AQSOL_01523,-6.731678009033203,-20.947084426879883,-25.13381576538086,-32.048423767089844,-26.043107986450195,5.606250355103332,-6.731678,-6.6050844,0.21621621621621623,AQSOL_03513,COC(=O)c1ccc(-c2cc(C(=O)OC)ccc2C(=O)OC)cc1.COC(=O)c1ccc(-c2cc(C)ccc2C(=O)OC)cc1.COC(=O)c1ccc(-c2ccc(C(=O)OC)cc2)cc1.COC(=O)c1ccc(-c2cccc(C(=O)OC)c2)cc1.COC(=O)c1ccc(-c2ccccc2C(=O)OC)cc1.COC(=O)c1ccc(C(=O)O)cc1.COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1.COC(=O)c1ccc(C(=O)OC)cc1.COC(=O)c1ccc(C(=O)OCc2ccc(C)cc2)cc1.COC(=O)c1ccc(C(OC)OC)cc1.COC(=O)c1ccc(C)c2c1oc(=O)c1ccccc12.COC(=O)c1ccc(C)cc1.COC(=O)c1ccc(C)cc1C(=O)OC.COC(=O)c1ccc(C=O)cc1.COC(=O)c1ccc(CO)cc1.COC(=O)c1ccc(COC(=O)c2ccc(C(=O)OC)cc2)cc1.COC(=O)c1ccc(COC(=O)c2ccc(C)cc2)cc1.COC(=O)c1ccc2c(c1)C(=O)c1ccc(C(=O)OC)cc1-2.COC(=O)c1cccc(C(=O)OC)c1.COC(=O)c1ccccc1.COC(=O)c1ccccc1C(=O)OC.Cc1ccc(C(=O)O)cc1.Cc1ccc(C)cc1.O=C(O)c1ccccc1,False,5299.456,O=C(OCc1ccccc1)c1ccccc1.O=C(OCc1ccccc1)c1ccccc1.O=C(OCc1ccccc1)c1ccccc1.O=C1c2ccccc2-c2ccccc21.O=c1oc2ccccc2c2ccccc12.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1,unseen_cyclic_scaffold,<0.30,>=600,outside_drug_like_scope,19.311429977416992,0.12659360903320316,-19.184836368383788,XGBoost
AQSOL_00324,-5.40505313873291,-21.055389404296875,-20.13941192626953,-24.59937858581543,-21.931393305460613,2.3554962910617827,-5.405053,-5.7135415,0.52,AQSOL_01236,C1CCC2CC3CCCCC3CC2C1.CCC1CCC(CC)CC1.CCCCCCCCCCCC(CC)CCCCCCC(CC)CCCCCCC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.Cc1cccc(C)c1.c1ccc2cc3ccccc3cc2c1.c1ccc2ccccc2c1,False,1590.844,C1CCC2CC3CCCCC3CC2C1.C1CCCCC1.c1ccc2cc3ccccc3cc2c1.c1ccc2ccccc2c1.c1ccccc1,unseen_cyclic_scaffold,0.50-0.70,>=600,outside_drug_like_scope,16.526340166727703,0.3084883612670897,-16.21785180546061,XGBoost
AQSOL_00465,-4.588176727294922,-14.499676704406738,-20.503662109375,-17.06936264038086,-17.35756715138753,3.012350671135654,-4.5881767,-5.246459,0.2911392405063291,AQSOL_02899,C=Cc1ccccc1.CCC(C)(c1ccccc1)c1ccccc1.CCc1cc(CC)c(CC)cc1CC.CCc1ccccc1.Cc1cccc2ccccc12.Cc1ccccc1.Cc1ccccc1-c1ccccc1.c1ccc(-c2ccccc2)cc1.c1ccc(C2CCCCC2)cc1.c1ccc(CCc2ccccc2)cc1.c1ccccc1,False,1588.403,c1ccc(-c2ccccc2)cc1.c1ccc(-c2ccccc2)cc1.c1ccc(C2CCCCC2)cc1.c1ccc(CCc2ccccc2)cc1.c1ccc(Cc2ccccc2)cc1.c1ccc2ccccc2c1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1,unseen_cyclic_scaffold,<0.30,>=600,outside_drug_like_scope,12.76939042409261,0.6582822727050779,-12.111108151387532,XGBoost
AQSOL_01204,-6.490068912506104,-16.481908798217773,-20.80539894104004,-16.28261375427246,-17.856640497843426,2.555643147209286,-6.490069,-7.4316483,0.325,AQSOL_00806,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Al+3].[Al+3],False,2404.941,O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1.O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1.O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1,unseen_cyclic_scaffold,0.30-0.50,>=600,outside_drug_like_scope,11.366571585337322,0.9415793874938956,-10.424992197843427,XGBoost
AQSOL_03564,-9.02497386932373,1.4099993705749512,1.6278800964355469,2.3583812713623047,1.7987535794576008,0.49674477132157574,-9.024974,-1.712698,0.2727272727272727,AQSOL_03760,C1CO[Sb]2OCCO[Sb](O1)OCCO2,False,423.676,C1CO[Sb]2OCCO[Sb](O1)OCCO2,unseen_cyclic_scaffold,<0.30,400-600,outside_drug_like_scope,10.823727448781332,7.312275869323731,-3.511451579457601,XGBoost
AQSOL_01266,-6.683201313018799,2.2608375549316406,1.4215421676635742,0.7077138423919678,1.4633645216623943,0.7774060384276392,-6.6832013,-0.5346525,0.625,AQSOL_03239,O=C(O)CCCCCNc1nc(NCCCCCC(=O)O)nc(NCCCCCC(=O)O)n1.OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO,False,916.125,c1ncncn1,unseen_cyclic_scaffold,0.50-0.70,>=600,outside_drug_like_scope,8.146565834681192,6.148548813018799,-1.9980170216623936,XGBoost
AQSOL_01673,-7.751246929168701,0.4587562084197998,-0.2632758617401123,-0.3345844745635986,-0.04636804262797036,0.4389010267852315,-7.751247,-2.350326,0.4057971014492754,AQSOL_00090,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],False,563.958,O=C1C(N=Nc2ccccc2)C=NN1c1ccccc1,unseen_cyclic_scaffold,0.30-0.50,400-600,outside_drug_like_scope,7.7048788865407305,5.400920929168701,-2.3039579573720292,XGBoost
AQSOL_01575,-7.071018218994141,-13.991496086120604,-12.692705154418944,-13.923176765441896,-13.535792668660482,0.7309338546660574,-7.071018,-7.660509,0.7428571428571429,AQSOL_03031,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,False,1177.655,O=C(CCc1ccccc1)OCC(COC(=O)CCc1ccccc1)(COC(=O)CCc1ccccc1)COC(=O)CCc1ccccc1,unseen_cyclic_scaffold,0.70-0.85,>=600,outside_drug_like_scope,6.464774449666342,0.5894907810058596,-5.875283668660482,XGBoost
AQSOL_05548,-4.69350004196167,2.0071349143981934,1.24092435836792,1.196582555770874,1.4815472761789958,0.45571188590052647,-4.6935,-4.4514966,0.4,AQSOL_06783,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,True,360.406,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,unseen_cyclic_scaffold,0.30-0.50,200-400,drug_like,6.175047318140666,0.24200344196167034,-5.933043876178996,XGBoost
AQSOL_03373,-7.739803791046143,-1.187628984451294,-1.5087759494781494,-2.2181642055511475,-1.638189713160197,0.5273155148055058,-7.739804,-4.7763443,0.5362318840579711,AQSOL_03503,Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].Cc1ccccc1NC(=O)CC(=O)CN=Nc1ccc(S(=O)(=O)[O-])cc1[N+](=O)[O-].[Ca+2],False,878.868,O=C(CN=Nc1ccccc1)CC(=O)Nc1ccccc1.O=C(CN=Nc1ccccc1)CC(=O)Nc1ccccc1,unseen_cyclic_scaffold,0.50-0.70,>=600,outside_drug_like_scope,6.101614077885945,2.9634594910461427,-3.1381545868398026,XGBoost
