protocol,dimension,subgroup,n_samples,proportion,mean_nearest_similarity,gine_mae,xgboost_mae,gine_minus_xgboost_mae,gine_win_rate,mean_gine_seed_std
scaffold,similarity_bin,<0.30,213,0.10665998998497747,0.25532060567840204,1.1673117241879025,0.963935562446465,0.20337616174143747,0.5117370892018779,0.39624965062664536
scaffold,similarity_bin,0.30-0.50,959,0.48022033049574364,0.40331511452550894,0.8320134534486944,0.8116626944775405,0.020350758971153904,0.4932221063607925,0.3167988585601374
scaffold,similarity_bin,0.50-0.70,706,0.3535302954431647,0.5688824228463157,0.852790710399584,0.7480715776215326,0.10471913277805134,0.4603399433427762,0.30590482245200973
scaffold,similarity_bin,0.70-0.85,84,0.04206309464196294,0.752148973132734,1.0688148338406807,0.6326481016374489,0.43616673220323177,0.30952380952380953,0.2904800749329018
scaffold,similarity_bin,>=0.85,35,0.017526289434151226,0.950432513778967,0.9934447654656001,0.6111207152805415,0.38232405018505866,0.34285714285714286,0.3104350409767535
scaffold,scaffold_status,unseen_cyclic_scaffold,1997,1.0,0.4703250506231223,0.8879116442089837,0.794378066188395,0.0935335780205887,0.4732098147220831,0.3202031238469285
scaffold,molecular_weight_bin,<200,478,0.23935903855783675,0.4516130824775287,0.6909993768191827,0.6036456115006001,0.08735376531858252,0.4560669456066946,0.28540998492820446
scaffold,molecular_weight_bin,200-400,1214,0.6079118678017026,0.47472554728897415,0.7758798281040006,0.7593805859576594,0.01649924214634113,0.48105436573311366,0.2994105219491668
scaffold,molecular_weight_bin,400-600,199,0.09964947421131698,0.4564091243573823,1.3328646407330058,1.327228476844601,0.0056361638884048215,0.5125628140703518,0.36687353645586346
scaffold,molecular_weight_bin,>=600,106,0.053079619429143715,0.5304324765488939,2.2236195900155313,1.0549424305307942,1.1686771594847372,0.3867924528301887,0.6276175294870678
scaffold,druglike_status,drug_like,1815,0.9088632949424136,0.47104366635093503,0.8015628239701146,0.7372739307237761,0.06428889324633846,0.46831955922865015,0.3003934142811284
scaffold,druglike_status,outside_drug_like_scope,182,0.09113670505758638,0.46315863553531994,1.7490276262614426,1.3638506259042384,0.38517700035720415,0.521978021978022,0.5177559967146601
