protocol,target,c,classes,train_samples,valid_samples,micro_average_precision,macro_average_precision_observed,mean_reciprocal_rank,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,recall_at_5,frequency_hit_rate_at_5,training_seconds,maximum_iterations_used,converged,selected
transformation,solvent,0.01,20,229,43,0.4758417462411612,0.5649682853017303,0.6692321889996309,0.5116279069767442,0.7441860465116279,0.9069767441860465,0.7874031007751938,0.7441860465116279,1.098527954891324,6,True,False
transformation,solvent,0.1,20,229,43,0.4878369222120517,0.5651818075037041,0.6822166851236618,0.5348837209302325,0.7674418604651163,0.8837209302325582,0.7312015503875969,0.7441860465116279,0.022542749531567097,7,True,True
transformation,solvent,1.0,20,229,43,0.48177643825805094,0.5518434010016852,0.7207179771133259,0.6046511627906976,0.813953488372093,0.8837209302325582,0.742829457364341,0.7441860465116279,0.03316714707762003,9,True,False
transformation,solvent,10.0,20,229,43,0.47644933295880704,0.5471075224801124,0.711979428839894,0.6046511627906976,0.7906976744186046,0.8837209302325582,0.742829457364341,0.7441860465116279,0.03397466614842415,10,True,False
transformation,catalyst,0.01,248,185,35,0.202470364757435,0.4036721044020804,0.7044412206569972,0.6285714285714286,0.7714285714285715,0.7714285714285715,0.4123293373293373,0.5714285714285714,0.14417832531034946,6,True,False
transformation,catalyst,0.1,248,185,35,0.21180477439167505,0.4048444107815544,0.7196606560262022,0.6571428571428571,0.7714285714285715,0.7714285714285715,0.4170912420912421,0.5714285714285714,0.1708781262859702,8,True,True
transformation,catalyst,1.0,248,185,35,0.21072560279851335,0.410343965359516,0.7201725970108322,0.6571428571428571,0.7714285714285715,0.7714285714285715,0.4222743922743923,0.5714285714285714,0.23720583226531744,9,True,False
transformation,catalyst,10.0,248,185,35,0.20800863429535565,0.43407984807874317,0.7248507462922812,0.6571428571428571,0.7714285714285715,0.7714285714285715,0.4123842823842824,0.5714285714285714,0.1800137683749199,11,True,False
reaction_center,solvent,0.01,20,219,48,0.6004449617652444,0.5584344355933526,0.7843998015873016,0.6875,0.875,0.9166666666666666,0.7891782407407408,0.75,0.022397457621991634,6,True,False
reaction_center,solvent,0.1,20,219,48,0.6078734677182049,0.5613696648494659,0.7976273148148149,0.7083333333333334,0.8333333333333334,0.9166666666666666,0.7943865740740742,0.75,0.07269242219626904,7,True,True
reaction_center,solvent,1.0,20,219,48,0.6043471850572013,0.5604706026683011,0.7893518518518517,0.6875,0.8333333333333334,0.9166666666666666,0.7883101851851851,0.75,0.032392106018960476,8,True,False
reaction_center,solvent,10.0,20,219,48,0.5990185100806102,0.5552649343042224,0.7967592592592592,0.7083333333333334,0.8333333333333334,0.9375,0.7952546296296297,0.75,0.032111856155097485,10,True,False
reaction_center,catalyst,0.01,241,173,36,0.22730410925059621,0.4002896541671142,0.6515850400381246,0.5555555555555556,0.6944444444444444,0.8333333333333334,0.45123750795319434,0.5277777777777778,0.14498774614185095,6,True,False
reaction_center,catalyst,0.1,241,173,36,0.24714656430764198,0.39905861510090596,0.6513086647773736,0.5555555555555556,0.6944444444444444,0.8055555555555556,0.4498696628353491,0.5277777777777778,0.157594314776361,7,True,False
reaction_center,catalyst,1.0,241,173,36,0.2548453835156367,0.38718023554827696,0.6156409177225317,0.5,0.6944444444444444,0.75,0.3943141072797936,0.5277777777777778,0.23500590305775404,9,True,True
reaction_center,catalyst,10.0,241,173,36,0.2510212271701411,0.3768099801747625,0.5881542094716904,0.4444444444444444,0.6944444444444444,0.75,0.3760331752488615,0.5277777777777778,0.17471637204289436,11,True,False
