rank,identifier_type,label,reaction_count
1,NAME,none,7260
2,SMILES,I[Cu],4800
3,SMILES,O=C(C)O[Pd]OC(C)=O,4416
4,SMILES,Cl[Cu],4032
5,SMILES,Br[Cu],2880
6,SMILES,CO1->[Ni](Br)(Br)<-O(C)CC1,2880
7,SMILES,CC(C)(C)C1=CC=C(C=C(C2=CC=C(C(C)(C)C)C=C2)->[Ni](<-C(=CC2=CC=C(C(C)(C)C)C=C2)C2=CC=C(C(C)(C)C)C=C2)<-C(=CC2=CC=C(C(C)(C)C)C=C2)C2=CC=C(C(C)(C)C)C=C2)C=C1,2688
8,SMILES,O=C(C)O[Cu],1920
9,SMILES,C1=C2->[Ni]3(<-C(=CCC2)CC1)<-C1=CCCC->3=CCC1,1920
10,SMILES,C=C(C)->[Pd]1<-Cl[Pd](<-C(=C)C)<-Cl1,1536
11,SMILES,CC1=CC(C)=O->[Pd]2(<-O=C(C)C=C(C)O2)O1,1536
12,SMILES,O=C(C)O[Cu]OC(C)=O,1344
13,SMILES,O=C1C(=CC2=CC=CC=C2)->[Pd]2<-C(=CC3=CC=CC=C3)C(=O)C(=CC3=CC=CC=C3)->[Pd](<-C1=CC1=CC=CC=C1)<-C(=CC1=CC=CC=C1)C(=O)C->2=CC1=CC=CC=C1,1152
14,SMILES,CC(=CC1=CC=CC=C1)->[Pd]1<-Cl[Pd](<-C(C)=CC2=CC=CC=C2)<-Cl1,1152
15,SMILES,CC1=CC(C)=O->[Ni]2(<-O=C(C)C=C(C)O2)O1,1152
16,SMILES,[Cu]O[Cu],1152
17,SMILES,CO1->[Ni](Cl)(Cl)<-O(C)CC1,960
18,SMILES,C1=CC=C(C2=C(P(C3CCCCC3)C3CCCCC3)C=CC=C2)C=C1,800
19,SMILES,COC1=CC=CC(OC)=C1NC(=O)C(=O)O,800
20,SMILES,CN(C)C1=C(C2=CC=CC=C2P(C2CCCCC2)C2CCCCC2)C=CC=C1,800
21,SMILES,CC1=CC=CC(C)=C1NC(=O)C(=O)O,800
22,SMILES,CC(C)C1=CC=CC(C(C)C)=C1N1C=C[N+](C2=C(C(C)C)C=CC=C2C(C)C)=C1.[Cl-],800
23,SMILES,CC1=CC(C)=C(N2C=CN(C3=C(C)C=C(C)C=C3C)C2[Cu]Cl)C(C)=C1,768
24,SMILES,CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)C1[Cu]Cl,768
25,SMILES,O=C1C(=CC2=CC=CC=C2)->[Pd]2(<-C1=CC1=CC=CC=C1)<-C(=CC1=CC=CC=C1)C(=O)C->2=CC1=CC=CC=C1,768
26,SMILES,CC1=C(C)N(C2=C(C(C)C)C=CC=C2C(C)C)C([Ni]2<-C=CCCC=C->2)N1C1=C(C(C)C)C=CC=C1C(C)C,768
27,SMILES,O=S1C(C2=CC=CC=C2)=C2(C3=CC=CC=C3)->[Ni]3(<-C4=CCCC->3=CCC4)<-C1(C1=CC=CC=C1)=C2C1=CC=CC=C1,768
28,SMILES,O=C(C(C)=C12C)C(C)(=C(C)C2=O)->[Ni]<-1(<-[CH](=CC1)CC2)<-[CH](=C2)C1,768
29,SMILES,O=C(O)C(=O)NC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,736
30,SMILES,O=C(O)C(=O)NC1=C(F)C(F)=C(F)C(F)=C1F,672
31,SMILES,O=C(O)C(=O)NC1=C(F)C=CC=C1F,672
32,SMILES,CC1(C)C2=C(OC3=C1C=CC=C3P(C1=CC=CC=C1)C1=CC=CC=C1)C(P(C1=CC=CC=C1)C1=CC=CC=C1)=CC=C2,672
33,SMILES,COC1=CC=C(OC)C(P(C2CCCCC2)C2CCCCC2)=C1C1=C(C(C)C)C=C(C(C)C)C=C1C(C)C,672
34,SMILES,O=C(NCC1=CC=CO1)C(=O)NCC1=CC=CO1,640
35,SMILES,CC(C)(C)P(C(C)(C)C)C(C)(C)C,640
36,SMILES,CC(C)(C)P(C1=CC=CC=C1)C1=CC=CC=C1,608
37,SMILES,CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,608
38,SMILES,CC(C)C1=CC(C(C)C)=C(C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C(C)C)=C1,608
39,SMILES,CC(C)C1=CC(C(C)C)=C(C2=CC=CC=C2P(C2CCCCC2)C2CCCCC2)C(C(C)C)=C1,608
40,SMILES,CC(C)(C)P(C1=CC=CC=C1C1=CC=CC=C1)C(C)(C)C,608
41,SMILES,COC1=CC=CC(OC)=C1C1=C(P(C2CCCCC2)C2CCCCC2)C=CC=C1,576
42,SMILES,COC1=C(C(C)(C)C)C=C(P(C2=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C2)C2=CC=C3OCOC3=C2C2=C3OCOC3=CC=C2P(C2=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C2)C2=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C2)C=C1C(C)(C)C,544
43,SMILES,COC1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(P(C(C)(C)C)C(C)(C)C)=C(OC)C=C1,544
44,SMILES,COC1=C(P(C(C)(C)C)C(C)(C)C)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C(C)C=C1,544
45,SMILES,O=C(N[C@H]1CCCC[C@@H]1NC(=O)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1)C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1,512
46,SMILES,ClC1=CC=C(P(C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C=C1,512
47,SMILES,C1=CC=C(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)C(N2CCCCC2)=C1,512
48,SMILES,CC1=CC=C(P(C2=CC=C(C)C=C2)C2=CC=C(C)C=C2)C=C1,512
49,SMILES,[H][C@]1(NC(=O)C2=C(P(C3=CC=CC=C3)C3=CC=CC=C3)C=CC3=C2C=CC=C3)CCCC[C@]1([H])NC(=O)C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC2=C1C=CC=C2,512
50,SMILES,CC(C1=CC(C(C)(C)C)=CC(P(C2CCCC2)C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=C1)(C)C,512
51,SMILES,C1=CC=C(P(C2=CC=CC=C2)C2=C(C3=C(P(C4=CC=CC=C4)C4=CC=CC=C4)C=CC4=C3C=CC=C4)C3=C(C=CC=C3)C=C2)C=C1,512
52,SMILES,CC1=CC(C)=C(N2C=C[N+](C3=C(C)C=C(C)C=C3C)=C2)C(C)=C1.[Cl-],512
53,SMILES,C1=CC=C(P(CCP(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,480
54,SMILES,C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2OC2=CC=CC=C2P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,480
55,SMILES,FC(F)(F)C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1,480
56,SMILES,C1=CC=C(C2=CC=NC3=C4N=CC=C(C5=CC=CC=C5)C4=CC=C23)C=C1,480
57,SMILES,ClC1=CC=NC2=C1C=CC1=C(Cl)C=CN=C12,480
58,SMILES,O=C(O)[C@@H]1CCCN1,448
59,SMILES,CC1=CC=CC=C1P(C1=CC=CC=C1C)C1=C(C)C=CC=C1,448
