rank,identifier_type,label,reaction_count
1,SMILES,C(O[Pd]OC(C)=O)(C)=O,6795
2,SMILES,[Cu]I,1430
3,SMILES,P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC,1311
4,SMILES,C1(C(C(C(C1C)C)C)C)C.C1(C(C(C(C1C)C)C)C)C.[Rh](Cl)Cl.[Rh](Cl)Cl,1272
5,SMILES,[Pd].C(P(C(C)(C)C)C(C)(C)C)(C)(C)C.C(P(C(C)(C)C)C(C)(C)C)(C)(C)C,1069
6,SMILES,[Ir-]12[Ir-]([O+]1C)[O+]2C.C1=CCCC=CCC1.C1=CCCC=CCC1,1024
7,SMILES,[Pd].P(c1ccccc1)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)c1ccccc1,752
8,SMILES,c1(c2c(P(c3ccccc3)c3ccccc3)ccc3c2cccc3)c(P(c2ccccc2)c2ccccc2)ccc2c1cccc2,628
9,SMILES,P(C1CCCC1)(c1ccccc1)c1ccccc1.P(C1CCCC1)(c1ccccc1)c1ccccc1.C(Cl)Cl.[Pd](Cl)Cl.[Fe],587
10,SMILES,[Pd](Cl)Cl.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1.P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1,536
11,SMILES,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,533
12,SMILES,C1CC=CCCC=C1.C1CC=CCCC=C1.Cl[Ir].Cl[Ir],508
13,SMILES,C(C=C)[Pd]Cl.C(C=C)[Pd]Cl,504
14,SMILES,P(C1CCCC1)(C(C)(C)C)C(C)(C)C.P(C1CCCC1)(C(C)(C)C)C(C)(C)C.[Pd](Cl)Cl.[Fe],464
15,SMILES,c1ccc(c(c1)[Ni]Cl)C.C(N(C)C)CN(C)C,432
16,SMILES,[Fe](O/C(=C\C(C)=O)C)(O/C(=C\C(C)=O)C)O/C(=C\C(C)=O)C,418
17,SMILES,[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1,405
18,SMILES,C(C[Ru]CC(C)=C)(C)=C.C1CC=CCCC=C1,390
19,NAME,[Rh(cod)2]BF4,383
20,NAME,5% Rh/C,381
21,SMILES,O1c2c(C(c3c1c(ccc3)P(c1ccccc1)c1ccccc1)(C)C)cccc2P(c1ccccc1)c1ccccc1.Cl[Pd]Cl,362
22,SMILES,C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe],356
23,NAME,PtO2,356
24,SMILES,P(C1CCCC1)(c1ccccc1)c1ccccc1.P(C1CCCC1)(c1ccccc1)c1ccccc1.[Fe],354
25,NAME,5% Pd/C,352
26,NAME,10%% Pd/C (dry),351
27,NAME,10% Pt/C,347
28,SMILES,[Pd](Cl)Cl.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1.P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,342
29,SMILES,[Pd](O)O,339
30,SMILES,c1(n2c(P(C(C)(C)C)C(C)(C)C)ccn2)c(n(nc1c1ccccc1)c1ccccc1)c1ccccc1,329
31,SMILES,c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C,310
32,SMILES,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O,298
33,SMILES,c12c(P(c3ccccc3)c3ccccc3)cccc1C(c1c(O2)c(P(c2ccccc2)c2ccccc2)ccc1)(C)C,293
34,SMILES,[Pd](Cl)Cl.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C.P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C,293
35,SMILES,C1(C(C(C(C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.P(C(C)(C)C)(C(C)(C)C)C1CCCC1.C1(C(C(C(C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.P(C(C)(C)C)(C(C)(C)C)C1CCCC1.[Fe].[Fe].[Pd],283
36,SMILES,P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,252
37,SMILES,[Ni].C1CC=CCCC=C1.C1CC=CCCC=C1,242
38,NAME,Ir-93,240
39,SMILES,C(N=NC(C#N)(C)C)(C#N)(C)C,240
40,NAME,Xantphos Pd G4,236
41,SMILES,C(COC)OC.[Ni](Cl)Cl,226
42,NAME,Pd(OAc)2,225
43,SMILES,[Zn],224
44,SMILES,c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,222
45,NAME,[Rh(tBuCp*)(Cl)2]2,216
46,SMILES,P(c1ccccc1)(c1ccccc1)c1ccccc1,211
47,NAME,3G OMs XanthPhos,209
48,SMILES,c1(c2c(P(C(C)(C)C)C(C)(C)C)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,204
49,SMILES,P(c1c(cccc1)C)(c1c(cccc1)C)c1c(cccc1)C,204
50,NAME,(Ir[dF(4CF3)ppy]2(dtbpy))PF6,204
51,SMILES,C(S(=O)(=O)[O-])(F)(F)F.[Rh+].C1CC=CCCC=C1.C1CC=CCCC=C1,199
52,SMILES,Cl[Rh].Cl[Rh].C1=CCCC=CCC1.C1=CCCC=CCC1,185
53,NAME,RaNi 4200,180
54,NAME,0,173
55,NAME,3G OMs tBuBrettPhos,165
56,SMILES,P(C1CCCC1)(C(C)(C)C)C(C)(C)C.P(C1CCCC1)(C(C)(C)C)C(C)(C)C.[Fe],154
57,NAME,RaNi 4100,144
58,NAME,(Ir[dF(5CF3)ppy]2(dtbpy))PF6,144
59,SMILES,[P+](CCC[P+](C1CCCC1)C1CCCC1)(C1CCCC1)C1CCCC1.F[B-](F)(F)F.F[B-](F)(F)F,143
60,SMILES,n1c(c(c(n1c1ccccc1)c1ccccc1)n1nccc1P(C(C)(C)C)(C(C)(C)C)[Pd](Cl)Cl)c1ccccc1,142
61,NAME,SPhos Pd G4,138
62,SMILES,P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1,132
63,SMILES,C(P(C(C)(C)C)C(C)(C)C)(C)(C)C,128
64,SMILES,P(c1c(Oc2c(P(c3ccccc3)c3ccccc3)cccc2)cccc1)(c1ccccc1)c1ccccc1,124
65,SMILES,C1(C)(C)c2c(c(P(c3ccccc3)c3ccccc3)ccc2)Oc2c1cccc2P(c1ccccc1)c1ccccc1.c1ccc(c(c1)[Pd+])c1ccccc1NC.[O-]S(C)(=O)=O,124
66,SMILES,P(c1ccccc1)(c1ccccc1)CCCP(c1ccccc1)c1ccccc1,123
67,SMILES,c12c3c(c(c(cn3)C)C)ccc1c(c(cn2)C)C,121
68,SMILES,P(c1ccccc1)(c1ccccc1)CCCCP(c1ccccc1)c1ccccc1,119
69,NAME,3G OMs RockPhos,119
70,NAME,C1-358,117
71,SMILES,P(c1c(P(c2ccccc2)c2ccccc2)cccc1)(c1ccccc1)c1ccccc1,108
72,SMILES,c12ccc3n2[Mn](n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)Cl,108
73,SMILES,c12ccc3n2[Fe](n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)Cl,108
