rank,identifier_type,label,reaction_count
1,SMILES,CC1=CC=CC=C1,5113
2,SMILES,C1CCOC1,4746
3,SMILES,CC#N,4250
4,SMILES,C1COCCO1,3617
5,SMILES,CO,3416
6,SMILES,CCC(C)(C)O,2500
7,SMILES,CN(C)C=O,2432
8,SMILES,C(CCl)Cl,2316
9,SMILES,CC(=O)N(C)C,1567
10,SMILES,CS(=O)C,1364
11,SMILES,CC(C)O,1131
12,SMILES,O,1099
13,SMILES,C(C(F)(F)F)O,967
14,SMILES,CC1CCCO1,858
15,SMILES,C(Cl)Cl,826
16,SMILES,CCO,691
17,SMILES,CC(=O)O,683
18,SMILES,CN1CCCC1=O,543
19,SMILES,CC(=O)C,460
20,SMILES,CC(C)(C)OC,458
21,SMILES,CC(C)OC(=O)C,259
22,SMILES,CC1COC(=O)O1,242
23,SMILES,CC1=CC=CC=C1Â Â,218
24,SMILES,CCOC(=O)C,205
25,SMILES,COC1CCCC1,152
26,SMILES,C[N+](=O)[O-],151
27,SMILES,CCCC#N,108
28,SMILES,CCCCO,96
29,SMILES,[2H]C(Cl)(Cl)Cl,96
30,SMILES,CCCCCCC,82
31,SMILES,CCC(=O)C,76
32,SMILES,C=CCO,76
33,SMILES,CC1CCOCC1,74
34,SMILES,C(CO)O,68
35,SMILES,C1=CC=C(C=C1)Cl,60
36,SMILES,COC1=CC=CC=C1,58
37,SMILES,C1CCS(=O)(=O)C1,48
38,SMILES,CC1CCC(=O)O1,48
39,SMILES,CCC#N,47
40,SMILES,CCC(C)O,34
41,SMILES,C(C(F)(F)F)(C(F)(F)F)O,28
42,SMILES,C(=O)(C(F)(F)F)O,14
43,SMILES,CC(C)CO,12
44,SMILES,C1=CC=C(C=C1)CO,12
45,SMILES,COCCO,12
46,SMILES,[Li+].[Cl-],12
47,SMILES,C1=CC=C(C=C1)OC2=CC=CC=C2,12
48,SMILES,Cl,9
49,SMILES,C1=CC=NC=C1,5
50,SMILES,C(Cl)(Cl)(Cl)Cl,2
51,SMILES,CO[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC,1
52,SMILES,CC(=O)N1CCOCC1,1
53,SMILES,[Na+].[OH-],1
