label,condition_pair_count,transformation_count
SMILES:Cc1ccccc1,548,73
SMILES:C1CCOC1,478,71
SMILES:CC#N,527,67
SMILES:CO,413,50
SMILES:CN(C)C=O,354,35
SMILES:CCC(C)(C)O,262,35
SMILES:C1COCCO1,288,25
SMILES:CC(=O)N(C)C,298,22
SMILES:CS(C)=O,159,22
SMILES:CC(C)O,142,20
SMILES:ClCCCl,201,19
SMILES:CCO,142,18
SMILES:O,149,15
SMILES:CC(=O)O,67,13
SMILES:ClCCl,62,10
SMILES:OCC(F)(F)F,58,10
SMILES:CC(C)=O,42,9
SMILES:COC(C)(C)C,86,8
SMILES:CCOC(C)=O,14,6
SMILES:CN1CCCC1=O,76,5
SMILES:CC(=O)OC(C)C,14,3
SMILES:OCCO,14,2
SMILES:CC1CCCO1,13,2
SMILES:CCCCCCC,6,2
SMILES:CC1COC(=O)O1,48,1
SMILES:[2H]C(Cl)(Cl)Cl,31,1
SMILES:COC1CCCC1,17,1
SMILES:CC1CCOCC1,10,1
SMILES:CCCCO,9,1
SMILES:COCCO,9,1
SMILES:CCC(C)=O,6,1
SMILES:C[N+](=O)[O-],5,1
SMILES:C=CCO,4,1
SMILES:[Cl-].[Li+],4,1
SMILES:CCC(C)O,3,1
SMILES:CCCC#N,2,1
SMILES:O=C(O)C(F)(F)F,2,1
SMILES:CC(C)CO,1,1
SMILES:CCC#N,1,1
SMILES:CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,1,1
SMILES:ClC(Cl)(Cl)Cl,1,1
