label,condition_pair_count,transformation_count
SMILES:CC#N,515,72
SMILES:Cc1ccccc1,440,71
SMILES:C1CCOC1,476,63
SMILES:CO,486,61
SMILES:CCC(C)(C)O,189,34
SMILES:CN(C)C=O,430,31
SMILES:C1COCCO1,356,31
SMILES:CC(=O)N(C)C,299,26
SMILES:CS(C)=O,186,26
SMILES:CC(C)O,188,25
SMILES:ClCCCl,192,24
SMILES:CCO,137,21
SMILES:O,184,18
SMILES:OCC(F)(F)F,85,18
SMILES:CC(=O)O,89,16
SMILES:CC(C)=O,50,9
SMILES:ClCCl,48,8
SMILES:CCOC(C)=O,27,8
SMILES:CN1CCCC1=O,100,6
SMILES:COC(C)(C)C,33,5
SMILES:CC(=O)OC(C)C,16,4
SMILES:OCCO,22,3
SMILES:CC1CCCO1,15,3
SMILES:CCC(C)=O,8,2
SMILES:CCC(C)O,6,2
SMILES:CC1COC(=O)O1,48,1
SMILES:COC1CCCC1,17,1
SMILES:CC1CCOCC1,10,1
SMILES:CCCCO,9,1
SMILES:COCCO,9,1
SMILES:C[N+](=O)[O-],5,1
SMILES:C=CCO,4,1
SMILES:CCCC#N,2,1
SMILES:O=C(O)C(F)(F)F,2,1
SMILES:CC(C)CO,1,1
SMILES:CCC#N,1,1
SMILES:CCCCCCC,1,1
SMILES:CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,1,1
SMILES:ClC(Cl)(Cl)Cl,1,1
