reaction_center_signature,transformation_count,condition_pair_count,represented_experiment_count,reaction_type_count,rankable_transformation_count
8115a6c1565afd45,11,99,108,1,1
4f53cda18c2baa0c,8,132,235,3,5
0e30ee84ab72415b,6,10,16,1,4
aa60785df8bc68f5,5,20,24,1,0
51fa59ddb3b1e588,4,8,8,1,3
3b47d63e4d78f44b,4,6,12,1,2
91699b4499ba84e3,4,6,14,1,1
91828b8150f8ffa4,4,6,12,1,2
dd16101aaa368c15,4,4,4,1,0
c8f8f693405ef152,3,18,48,1,3
36c44d2358caafc2,3,5,8,1,1
c9a30712ae1362e6,3,4,10,1,1
486ce631291d4b2e,2,384,384,1,2
21fe653bc58e8c06,2,148,150,1,0
4bcacd09bba89ede,2,144,292,1,0
86158537b8118c5e,2,129,134,1,1
ccf32dc88940a4d0,2,118,120,1,2
a4c0ea01e2da8f8c,2,96,96,1,0
0f7f85e80beb1d75,2,90,90,1,2
e58cdee16343bfe0,2,90,90,1,2
e41b2a158ce2371a,2,72,84,1,2
b9be168fcb19a494,2,24,24,1,0
1f34fb3b80ace933,2,20,40,1,2
2ae640b844aa19ab,2,7,7,2,1
3fa932bf8271ab77,2,7,7,2,1
51ba32b745bfe4a8,2,6,17,1,1
84efaac7c823d524,2,6,6,2,1
e64f1df97f387282,2,6,6,2,1
2390be40294aeda8,2,4,4,1,1
7ef840fb396ec454,2,4,8,1,2
95a03909f58f1d47,2,4,6,1,0
b9e38b1e4af4da83,2,4,6,1,1
bcaefa61af4ec3db,2,4,4,1,2
0753e59f4fee4919,2,3,6,1,1
1bbdb6f58223804a,2,3,6,1,1
1e1fa58e8e434e23,2,3,6,1,1
23b0ce9cdb41c5e5,2,3,10,1,1
294d9e40cce9d4c5,2,3,6,1,1
44575b168faa521c,2,3,6,1,1
86a0a64ddfdac5b3,2,3,6,1,1
953c492bd23ee8ab,2,3,6,1,1
aceb4aae7e72594c,2,3,6,1,1
b21c81b9a0f98cde,2,3,6,1,1
b964528b4244ab1c,2,3,6,1,1
d361e3f8c7a6cdde,2,3,6,1,1
f3ec35ba78d75d2d,2,3,6,1,1
1162f1ad86c968e9,2,2,12,1,0
a038ae9c45ff9407,2,2,2,1,0
a7d7e46e5e9b3395,2,2,2,1,0
bc68b6a033d66c2e,2,2,2,1,0
c559f46558988325,2,2,12,1,0
d873f5085efaef0b,2,2,2,1,0
ecc9ec8aac49570c,2,2,2,1,0
828c602d9bcc4292,1,751,776,1,1
03a6514f84489c73,1,564,576,1,1
c82f349090de47b5,1,488,504,1,1
3539d26d9cc786b7,1,435,435,1,1
30d62804704349e8,1,432,432,1,1
71f67e3e63bf63b2,1,420,460,1,1
b86e9c0cd8b0e325,1,411,418,1,1
d063b8631cf070e8,1,408,432,1,0
92b948d24b5cc986,1,384,384,1,1
6c3d6558c02b6a0d,1,371,372,1,1
ea7beed97b972ef5,1,370,396,1,1
7252d70cdc1597a0,1,360,360,1,1
acd9f731440aa064,1,360,384,1,0
3978b6a1bd95469a,1,359,359,1,0
a2623007cfe2fec0,1,335,335,1,1
6038d664cdb9a1ba,1,334,502,1,1
70b1306282700c3c,1,324,328,1,1
199e97b3fb494c5c,1,322,337,1,1
7385d4a4db0d24fd,1,313,356,1,1
34cce7e5f0617155,1,308,312,1,1
a8e4a6482804a166,1,300,320,1,0
b46ba2650a31178f,1,283,432,1,1
4bd8250f86ff7286,1,280,288,1,1
bbcd60df2bbd9154,1,268,320,1,1
2826b3be5ab93d0e,1,264,278,1,1
cf9f809c254d19f3,1,264,284,1,1
3548e62918e60f28,1,263,268,1,1
85ebb5450d28fc56,1,242,255,1,1
8bd6ddf505733624,1,240,240,1,1
590d3488c595f45c,1,237,360,1,1
b6884ab6e87c9d0e,1,225,228,1,1
d3f4bf3ef5a47de3,1,224,227,1,1
72b2d37716db446f,1,220,223,1,0
3c1fe3dcd0af700f,1,216,278,1,1
9555adb0f5ea3995,1,216,216,1,0
eef24d68053e5d93,1,216,238,1,1
a2a75f0fd863cb7e,1,215,217,1,1
5081305d2542c6cd,1,214,214,1,0
751843fe81f9a7f2,1,200,237,1,1
b2b390d014288a69,1,199,203,1,1
75003b5496167900,1,197,215,1,1
f5c09b8e82869dc7,1,193,194,1,1
0f836417e1ede1c0,1,192,192,1,1
1bf1e047577a9ce3,1,192,192,1,1
359be8084e54a844,1,192,192,1,1
43aad2739e388917,1,192,192,1,1
4867e7083ad32a2e,1,192,192,1,1
4fe73cc35d19e30f,1,192,192,1,1
5ff907458eb886f6,1,192,384,1,1
63783668b7bf6256,1,192,192,1,1
6575a623da45e8d1,1,192,192,1,1
71c385351c5dd450,1,192,192,1,1
75b6a88de3bc6d43,1,192,192,1,0
96667ab2ce5bf88b,1,192,192,1,1
9897d4b0c3cce9b2,1,192,192,1,1
a5f1031885939bcf,1,192,192,1,0
