transformation_signature,reaction_type,reaction_center_signature,canonical_reaction_smiles,canonical_character_length,canonical_token_length,unmatched_character_count,rdkit_valid,condition_pair_count,represented_experiment_count,mapped_sequence_variants,mapped_character_length_max,mapped_token_length_max,transformation_split,reaction_center_split,is_modeling_transformation
SMILES:CCOC(=O)O[C@H](C)n1nnc(-c2c(I)cnn2C)n1.SMILES:Cc1cccnc1N(C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1>>SMILES:CCOC(=O)O[C@H](C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCN(C(=O)OC(C)(C)C)C4)cc3)cnn2C)n1,SUZUKI,79ded37dcd3fae44,CCOC(=O)O[C@H](C)n1nnc(-c2c(I)cnn2C)n1.Cc1cccnc1N(C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1>>CCOC(=O)O[C@H](C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCN(C(=O)OC(C)(C)C)C4)cc3)cnn2C)n1,210,192,0,True,96,96,2,729,193,train,train,True
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:CN(Cc1ccc(S(C)(=O)=O)cc1Br)C(=O)OC(C)(C)C.SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N>>SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)OC(C)(C)C)cnc1N,SUZUKI,bef570f36aee0fa3,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(Cc1ccc(S(C)(=O)=O)cc1Br)C(=O)OC(C)(C)C.COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N>>COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)OC(C)(C)C)cnc1N,201,189,0,True,22,22,2,652,202,train,train,True
SMILES:CN(Cc1nn(C)c(C#N)c1-c1cnc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c(Br)n1)C(=O)OC(C)(C)C.SMILES:C[C@@H](O)c1ccccc1I>>SMILES:CC(Oc1nc(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1cc(F)ccc1I,ALKYLATION,14a7a4387df3f38d,CN(Cc1nn(C)c(C#N)c1-c1cnc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c(Br)n1)C(=O)OC(C)(C)C.C[C@@H](O)c1ccccc1I>>CC(Oc1nc(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1cc(F)ccc1I,195,189,0,True,8,8,2,733,195,test,train,True
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nn(CCO[Si](C)(C)C(C)(C)C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>SMILES:Cc1nn(CCO[Si](C)(C)C(C)(C)C)c2c1-c1cnc(N)c(n1)OC(C)c1c(ccc(F)c1Cl)C(=O)N(C)C2,SUZUKI,34da3f5246370678,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nn(CCO[Si](C)(C)C(C)(C)C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>Cc1nn(CCO[Si](C)(C)C(C)(C)C)c2c1-c1cnc(N)c(n1)OC(C)c1c(ccc(F)c1Cl)C(=O)N(C)C2,199,184,0,True,12,14,2,623,189,valid,train,True
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:c1ccc([Si]c2ccccc2)cc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,SILANE REDUCTION,7aab51c9070cd606,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.c1ccc([Si]c2ccccc2)cc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,227,178,0,True,3,3,1,693,182,train,train,True
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N.SMILES:Cc1nn(C)c(CN(C)C(=O)OC(C)(C)C)c1Br>>SMILES:COC(=O)c1ccc(F)cc1C(C)Oc1cc(-c2c(C)nn(C)c2CN(C)C(=O)OC(C)(C)C)cnc1N,SUZUKI,5f4f844edf6c518e,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N.Cc1nn(C)c(CN(C)C(=O)OC(C)(C)C)c1Br>>COC(=O)c1ccc(F)cc1C(C)Oc1cc(-c2c(C)nn(C)c2CN(C)C(=O)OC(C)(C)C)cnc1N,182,175,0,True,10,10,2,600,184,train,test,True
SMILES:O=C([C@@H]1CCCN(c2ccc3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1.SMILES:O=S(=O)(O)O[O-].O=S(=O)(O)O[O-].O=S(=O)([O-])O.O=S(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+]>>SMILES:O=C([C@@H]1CCCN(c2cc(O)c3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1,BIOMIMETIC OXIDATION,904892c85797cbaf,O=C([C@@H]1CCCN(c2ccc3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1.O=S(=O)(O)O[O-].O=S(=O)(O)O[O-].O=S(=O)([O-])O.O=S(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+]>>O=C([C@@H]1CCCN(c2cc(O)c3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1,221,173,0,True,20,20,2,566,177,train,train,True
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nn(-c2c(C#N)ncn2C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>SMILES:Cc1c2c(nn1-c1c(C#N)ncn1C)CN(C)C(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc-2cnc1N,SUZUKI,3daee3b89d1dfdcb,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nn(-c2c(C#N)ncn2C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>Cc1c2c(nn1-c1c(C#N)ncn1C)CN(C)C(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc-2cnc1N,186,172,0,True,189,189,2,574,181,valid,train,True
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:C[Si]c1ccccc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,SILANE REDUCTION,e762cc58471bfaa4,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.C[Si]c1ccccc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,218,169,0,True,3,3,1,684,173,train,train,True
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:[Si]c1ccccc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,SILANE REDUCTION,d74def68636d8408,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.[Si]c1ccccc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,217,168,0,True,2,2,1,683,172,train,train,True
