transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:B.C1CCOC1.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,86a0a64ddfdac5b3,AMINATION,B.C1CCOC1.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,62,64,0,[],test,train
SMILES:B.C1CCOC1.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e94389b5ab99b59,AMINATION,B.C1CCOC1.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,71,73,0,[],train,train
SMILES:B.CCN(CC)c1ccccc1.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,b21c81b9a0f98cde,AMINATION,B.CCN(CC)c1ccccc1.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,70,72,0,[],valid,train
SMILES:B.CCN(CC)c1ccccc1.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,6a0944138883ecd6,AMINATION,B.CCN(CC)c1ccccc1.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,79,81,0,[],train,train
SMILES:B.CSC.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,aceb4aae7e72594c,AMINATION,B.CSC.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,58,60,0,[],train,train
SMILES:B.CSC.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,b823ff77a975c1f6,AMINATION,B.CSC.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,67,69,0,[],valid,test
SMILES:B1Oc2ccccc2O1.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,8690bdda08ee5e7e,AMINATION,B1Oc2ccccc2O1.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,66,68,0,[],train,train
SMILES:B1[C@H]2CCC[C@@H]1CCC2.SMILES:C=CCCc1nnc(NC(=O)Cc2ccccn2)s1.SMILES:O=C(Cc1ccccc1)Nc1ccc(Br)nn1>>SMILES:O=C(Cc1ccccc1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,525093c3caae5504,SUZUKI,B1[C@H]2CCC[C@@H]1CCC2.C=CCCc1nnc(NC(=O)Cc2ccccn2)s1.O=C(Cc1ccccc1)Nc1ccc(Br)nn1>>O=C(Cc1ccccc1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,124,126,0,[],train,train
SMILES:B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.CN(C)CCN(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,91828b8150f8ffa4,AMINATION,B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.CN(C)CCN(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,105,107,0,[],train,train
SMILES:B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.CN(C)CCN(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,bcaefa61af4ec3db,AMINATION,B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.B[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C.CN(C)CCN(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,114,116,0,[],train,train
